TOA5	CR300Series	CR300	1475	CR300.Std.02.00	CPU:ottpls_cr300.CR300	7395	Table1
TIMESTAMP	RECORD	Water_Level_cm	Water_Temp_C				
TS	RN	centimeter	degrees Celsius				
		Smp	Smp				
24/09/2022 9:30	854	10.75	3.762				
24/09/2022 10:00	855	10.74	3.78				
24/09/2022 10:30	856	10.8	4.113				
24/09/2022 11:00	857	10.72	4.275				
24/09/2022 11:30	858	10.85	4.703				
24/09/2022 12:00	859	10.93	4.987				
24/09/2022 12:30	860	10.73	4.48				
24/09/2022 13:00	861	10.78	3.918				
24/09/2022 13:30	862	NAN	3.918				
24/09/2022 14:00	863	NAN	3.918				
24/09/2022 14:30	864	NAN	3.918				
24/09/2022 15:00	865	NAN	3.918				
24/09/2022 15:30	866	NAN	3.918				
24/09/2022 16:00	867	NAN	3.918				
24/09/2022 16:30	868	NAN	3.918				
24/09/2022 17:00	869	NAN	3.918				
24/09/2022 17:30	870	NAN	3.918				
24/09/2022 18:00	871	NAN	3.918				
24/09/2022 18:30	872	NAN	3.918				
24/09/2022 19:00	873	NAN	3.918				
24/09/2022 19:30	874	NAN	3.918				
24/09/2022 20:00	875	NAN	3.918				
24/09/2022 20:30	876	NAN	3.918				
24/09/2022 21:00	877	NAN	3.918				
24/09/2022 21:30	878	NAN	3.918				
24/09/2022 22:00	879	NAN	3.918				
24/09/2022 22:30	880	NAN	3.918				
24/09/2022 23:00	881	NAN	3.918				
24/09/2022 23:30	882	NAN	3.918				
25/09/2022 0:00	883	NAN	3.918				
25/09/2022 0:30	884	NAN	3.918				
25/09/2022 1:00	885	NAN	3.918				
25/09/2022 1:30	886	NAN	3.918				
25/09/2022 2:00	887	NAN	3.918				
25/09/2022 2:30	888	NAN	3.918				
25/09/2022 3:00	889	NAN	3.918				
25/09/2022 3:30	890	NAN	3.918				
25/09/2022 4:00	891	NAN	3.918				
25/09/2022 4:30	892	NAN	3.918				
25/09/2022 5:00	893	NAN	3.918				
25/09/2022 5:30	894	NAN	3.918				
25/09/2022 6:00	895	NAN	3.918				
25/09/2022 6:30	896	NAN	3.918				
25/09/2022 7:00	897	NAN	3.918				
25/09/2022 7:30	898	NAN	3.918				
25/09/2022 8:00	899	NAN	3.918				
25/09/2022 8:30	900	NAN	3.918				
25/09/2022 9:00	901	NAN	3.918				
25/09/2022 9:30	902	NAN	3.918				
25/09/2022 10:00	903	NAN	3.918				
25/09/2022 10:30	904	NAN	3.918				
25/09/2022 11:00	905	NAN	3.918				
25/09/2022 11:30	906	NAN	3.918				
25/09/2022 12:00	907	NAN	3.918				
25/09/2022 12:30	908	NAN	3.918				
25/09/2022 13:00	909	NAN	3.918				
25/09/2022 13:30	910	NAN	3.918				
25/09/2022 14:00	911	NAN	3.918				
25/09/2022 14:30	912	NAN	3.918				
25/09/2022 15:00	913	NAN	3.918				
25/09/2022 15:30	914	NAN	3.918				
25/09/2022 16:00	915	NAN	3.918				
25/09/2022 16:30	916	NAN	3.918				
25/09/2022 17:00	917	NAN	3.918				
25/09/2022 17:30	918	NAN	3.918				
25/09/2022 18:00	919	NAN	3.918				
25/09/2022 18:30	920	NAN	3.918				
25/09/2022 19:00	921	NAN	3.918				
25/09/2022 19:30	922	NAN	3.918				
25/09/2022 20:00	923	NAN	3.918				
25/09/2022 20:30	924	NAN	3.918				
25/09/2022 21:00	925	NAN	3.918				
25/09/2022 21:30	926	NAN	3.918				
25/09/2022 22:00	927	NAN	3.918				
25/09/2022 22:30	928	NAN	3.918				
25/09/2022 23:00	929	NAN	3.918				
25/09/2022 23:30	930	NAN	3.918				
26/09/2022 0:00	931	NAN	3.918				
26/09/2022 0:30	932	NAN	3.918				
26/09/2022 1:00	933	NAN	3.918				
26/09/2022 1:30	934	NAN	3.918				
26/09/2022 2:00	935	NAN	3.918				
26/09/2022 2:30	936	NAN	3.918				
26/09/2022 3:00	937	NAN	3.918				
26/09/2022 3:30	938	NAN	3.918				
26/09/2022 4:00	939	NAN	3.918				
26/09/2022 4:30	940	NAN	3.918				
26/09/2022 5:00	941	NAN	3.918				
26/09/2022 5:30	942	NAN	3.918				
26/09/2022 6:00	943	NAN	3.918				
26/09/2022 6:30	944	NAN	3.918				
26/09/2022 7:00	945	NAN	3.918				
26/09/2022 7:30	946	NAN	3.918				
26/09/2022 8:00	947	NAN	3.918				
26/09/2022 8:30	948	NAN	3.918				
26/09/2022 9:00	949	NAN	3.918				
26/09/2022 9:30	950	NAN	3.918				
26/09/2022 10:00	951	NAN	3.918				
26/09/2022 10:30	952	NAN	3.918				
26/09/2022 11:00	953	NAN	3.918				
26/09/2022 11:30	954	NAN	3.918				
26/09/2022 12:00	955	NAN	3.918				
26/09/2022 12:30	956	NAN	3.918				
26/09/2022 13:00	957	NAN	3.918				
26/09/2022 13:30	958	NAN	3.918				
26/09/2022 14:00	959	NAN	3.918				
26/09/2022 14:30	960	NAN	3.918				
26/09/2022 15:00	961	NAN	3.918				
26/09/2022 15:30	962	NAN	3.918				
26/09/2022 16:00	963	NAN	3.918				
26/09/2022 16:30	964	NAN	3.918				
26/09/2022 17:00	965	NAN	3.918				
26/09/2022 17:30	966	NAN	3.918				
26/09/2022 18:00	967	NAN	3.918				
26/09/2022 18:30	968	NAN	3.918				
26/09/2022 19:00	969	NAN	3.918				
26/09/2022 19:30	970	NAN	3.918				
26/09/2022 20:00	971	NAN	3.918				
26/09/2022 20:30	972	NAN	3.918				
26/09/2022 21:00	973	NAN	3.918				
26/09/2022 21:30	974	NAN	3.918				
26/09/2022 22:00	975	NAN	3.918				
26/09/2022 22:30	976	NAN	3.918				
26/09/2022 23:00	977	NAN	3.918				
26/09/2022 23:30	978	NAN	3.918				
27/09/2022 0:00	979	NAN	3.918				
27/09/2022 0:30	980	NAN	3.918				
27/09/2022 1:00	981	NAN	3.918				
27/09/2022 1:30	982	NAN	3.918				
27/09/2022 2:00	983	NAN	3.918				
27/09/2022 2:30	984	NAN	3.918				
27/09/2022 3:00	985	NAN	3.918				
27/09/2022 3:30	986	NAN	3.918				
27/09/2022 4:00	987	NAN	3.918				
27/09/2022 4:30	988	NAN	3.918				
27/09/2022 5:00	989	NAN	3.918				
27/09/2022 5:30	990	NAN	3.918				
27/09/2022 6:00	991	NAN	3.918				
27/09/2022 6:30	992	NAN	3.918				
27/09/2022 7:00	993	NAN	3.918				
27/09/2022 7:30	994	NAN	3.918				
27/09/2022 8:00	995	NAN	3.918				
27/09/2022 8:30	996	NAN	3.918				
27/09/2022 9:00	997	NAN	3.918				
27/09/2022 9:30	998	NAN	3.918				
27/09/2022 10:00	999	NAN	3.918				
27/09/2022 10:30	1000	NAN	3.918				
27/09/2022 11:00	1001	NAN	3.918				
27/09/2022 11:30	1002	NAN	3.918				
27/09/2022 12:00	1003	NAN	3.918				
27/09/2022 12:30	1004	NAN	3.918				
27/09/2022 13:00	1005	NAN	3.918				
27/09/2022 13:30	1006	NAN	3.918				
27/09/2022 14:00	1007	NAN	3.918				
27/09/2022 14:30	1008	NAN	3.918				
27/09/2022 15:00	1009	NAN	3.918				
27/09/2022 15:30	1010	NAN	3.918				
27/09/2022 16:00	1011	NAN	3.918				
27/09/2022 16:30	1012	NAN	3.918				
27/09/2022 17:00	1013	NAN	3.918				
27/09/2022 17:30	1014	NAN	3.918				
27/09/2022 18:00	1015	NAN	3.918				
27/09/2022 18:30	1016	NAN	3.918				
27/09/2022 19:00	1017	NAN	3.918				
27/09/2022 19:30	1018	NAN	3.918				
27/09/2022 20:00	1019	NAN	3.918				
27/09/2022 20:30	1020	NAN	3.918				
27/09/2022 21:00	1021	NAN	3.918				
27/09/2022 21:30	1022	NAN	3.918				
27/09/2022 22:00	1023	NAN	3.918				
27/09/2022 22:30	1024	NAN	3.918				
27/09/2022 23:00	1025	NAN	3.918				
27/09/2022 23:30	1026	NAN	3.918				
28/09/2022 0:00	1027	NAN	3.918				
28/09/2022 0:30	1028	NAN	3.918				
28/09/2022 1:00	1029	NAN	3.918				
28/09/2022 1:30	1030	NAN	3.918				
28/09/2022 2:00	1031	NAN	3.918				
28/09/2022 2:30	1032	NAN	3.918				
28/09/2022 3:00	1033	NAN	3.918				
28/09/2022 3:30	1034	NAN	3.918				
28/09/2022 4:00	1035	NAN	3.918				
28/09/2022 4:30	1036	NAN	3.918				
28/09/2022 5:00	1037	NAN	3.918				
28/09/2022 5:30	1038	NAN	3.918				
28/09/2022 6:00	1039	NAN	3.918				
28/09/2022 6:30	1040	NAN	3.918				
28/09/2022 7:00	1041	NAN	3.918				
28/09/2022 7:30	1042	NAN	3.918				
28/09/2022 8:00	1043	NAN	3.918				
28/09/2022 8:30	1044	NAN	3.918				
28/09/2022 9:00	1045	NAN	3.918				
28/09/2022 9:30	1046	NAN	3.918				
28/09/2022 10:00	1047	NAN	3.918				
28/09/2022 10:30	1048	NAN	3.918				
28/09/2022 11:00	1049	NAN	3.918				
28/09/2022 11:30	1050	NAN	3.918				
28/09/2022 12:00	1051	NAN	3.918				
28/09/2022 12:30	1052	NAN	3.918				
28/09/2022 13:00	1053	NAN	3.918				
28/09/2022 13:30	1054	NAN	3.918				
28/09/2022 14:00	1055	NAN	3.918				
28/09/2022 14:30	1056	NAN	3.918				
28/09/2022 15:00	1057	NAN	3.918				
28/09/2022 15:30	1058	NAN	3.918				
28/09/2022 16:00	1059	NAN	3.918				
28/09/2022 16:30	1060	NAN	3.918				
28/09/2022 17:00	1061	NAN	3.918				
28/09/2022 17:30	1062	NAN	3.918				
28/09/2022 18:00	1063	NAN	3.918				
28/09/2022 18:30	1064	NAN	3.918				
28/09/2022 19:00	1065	NAN	3.918				
28/09/2022 19:30	1066	NAN	3.918				
28/09/2022 20:00	1067	NAN	3.918				
28/09/2022 20:30	1068	NAN	3.918				
28/09/2022 21:00	1069	NAN	3.918				
28/09/2022 21:30	1070	NAN	3.918				
28/09/2022 22:00	1071	NAN	3.918				
28/09/2022 22:30	1072	NAN	3.918				
28/09/2022 23:00	1073	NAN	3.918				
28/09/2022 23:30	1074	NAN	3.918				
29/09/2022 0:00	1075	NAN	3.918				
29/09/2022 0:30	1076	NAN	3.918				
29/09/2022 1:00	1077	NAN	3.918				
29/09/2022 1:30	1078	NAN	3.918				
29/09/2022 2:00	1079	NAN	3.918				
29/09/2022 2:30	1080	NAN	3.918				
29/09/2022 3:00	1081	NAN	3.918				
29/09/2022 3:30	1082	NAN	3.918				
29/09/2022 4:00	1083	NAN	3.918				
29/09/2022 4:30	1084	NAN	3.918				
29/09/2022 5:00	1085	NAN	3.918				
29/09/2022 5:30	1086	NAN	3.918				
29/09/2022 6:00	1087	NAN	3.918				
29/09/2022 6:30	1088	NAN	3.918				
29/09/2022 7:00	1089	NAN	3.918				
29/09/2022 7:30	1090	NAN	3.918				
29/09/2022 8:00	1091	NAN	3.918				
29/09/2022 8:30	1092	NAN	3.918				
29/09/2022 9:00	1093	NAN	3.918				
29/09/2022 9:30	1094	NAN	3.918				
29/09/2022 10:00	1095	NAN	3.918				
29/09/2022 10:30	1096	NAN	3.918				
29/09/2022 11:00	1097	NAN	3.918				
29/09/2022 11:30	1098	NAN	3.918				
29/09/2022 12:00	1099	NAN	3.918				
29/09/2022 12:30	1100	NAN	3.918				
29/09/2022 13:00	1101	NAN	3.918				
29/09/2022 13:30	1102	NAN	3.918				
29/09/2022 14:00	1103	NAN	3.918				
29/09/2022 14:30	1104	NAN	3.918				
29/09/2022 15:00	1105	NAN	3.918				
29/09/2022 15:30	1106	NAN	3.918				
29/09/2022 16:00	1107	NAN	3.918				
29/09/2022 16:30	1108	NAN	3.918				
29/09/2022 17:00	1109	NAN	3.918				
29/09/2022 17:30	1110	NAN	3.918				
29/09/2022 18:00	1111	NAN	3.918				
29/09/2022 18:30	1112	NAN	3.918				
29/09/2022 19:00	1113	NAN	3.918				
29/09/2022 19:30	1114	NAN	3.918				
29/09/2022 20:00	1115	NAN	3.918				
29/09/2022 20:30	1116	NAN	3.918				
29/09/2022 21:00	1117	NAN	3.918				
29/09/2022 21:30	1118	NAN	3.918				
29/09/2022 22:00	1119	NAN	3.918				
29/09/2022 22:30	1120	NAN	3.918				
29/09/2022 23:00	1121	NAN	3.918				
29/09/2022 23:30	1122	NAN	3.918				
30/09/2022 0:00	1123	NAN	3.918				
30/09/2022 0:30	1124	NAN	3.918				
30/09/2022 1:00	1125	NAN	3.918				
30/09/2022 1:30	1126	NAN	3.918				
30/09/2022 2:00	1127	NAN	3.918				
30/09/2022 2:30	1128	NAN	3.918				
30/09/2022 3:00	1129	NAN	3.918				
30/09/2022 3:30	1130	NAN	3.918				
30/09/2022 4:00	1131	NAN	3.918				
30/09/2022 4:30	1132	NAN	3.918				
30/09/2022 5:00	1133	NAN	3.918				
30/09/2022 5:30	1134	NAN	3.918				
30/09/2022 6:00	1135	NAN	3.918				
30/09/2022 6:30	1136	NAN	3.918				
30/09/2022 7:00	1137	NAN	3.918				
30/09/2022 7:30	1138	NAN	3.918				
30/09/2022 8:00	1139	NAN	3.918				
30/09/2022 8:30	1140	NAN	3.918				
30/09/2022 9:00	1141	NAN	3.918				
30/09/2022 9:30	1142	NAN	3.918				
30/09/2022 10:00	1143	NAN	3.918				
30/09/2022 10:30	1144	NAN	3.918				
30/09/2022 11:00	1145	NAN	3.918				
30/09/2022 11:30	1146	NAN	3.918				
30/09/2022 12:00	1147	NAN	3.918				
30/09/2022 12:30	1148	NAN	3.918				
30/09/2022 13:00	1149	NAN	3.918				
30/09/2022 13:30	1150	NAN	3.918				
30/09/2022 14:00	1151	NAN	3.918				
30/09/2022 14:30	1152	NAN	3.918				
30/09/2022 15:00	1153	NAN	3.918				
30/09/2022 15:30	1154	NAN	3.918				
30/09/2022 16:00	1155	NAN	3.918				
30/09/2022 16:30	1156	NAN	3.918				
30/09/2022 17:00	1157	NAN	3.918				
30/09/2022 17:30	1158	NAN	3.918				
30/09/2022 18:00	1159	NAN	3.918				
30/09/2022 18:30	1160	NAN	3.918				
30/09/2022 19:00	1161	NAN	3.918				
30/09/2022 19:30	1162	NAN	3.918				
30/09/2022 20:00	1163	NAN	3.918				
30/09/2022 20:30	1164	NAN	3.918				
30/09/2022 21:00	1165	NAN	3.918				
30/09/2022 21:30	1166	NAN	3.918				
30/09/2022 22:00	1167	NAN	3.918				
30/09/2022 22:30	1168	NAN	3.918				
30/09/2022 23:00	1169	NAN	3.918				
30/09/2022 23:30	1170	NAN	3.918				
01/10/2022 0:00	1171	NAN	3.918				
01/10/2022 0:30	1172	NAN	3.918				
01/10/2022 1:00	1173	NAN	3.918				
01/10/2022 1:30	1174	NAN	3.918				
01/10/2022 2:00	1175	NAN	3.918				
01/10/2022 2:30	1176	NAN	3.918				
01/10/2022 3:00	1177	NAN	3.918				
01/10/2022 3:30	1178	NAN	3.918				
01/10/2022 4:00	1179	NAN	3.918				
01/10/2022 4:30	1180	NAN	3.918				
01/10/2022 5:00	1181	NAN	3.918				
01/10/2022 5:30	1182	NAN	3.918				
01/10/2022 6:00	1183	NAN	3.918				
01/10/2022 6:30	1184	NAN	3.918				
01/10/2022 7:00	1185	NAN	3.918				
01/10/2022 7:30	1186	NAN	3.918				
01/10/2022 8:00	1187	NAN	3.918				
01/10/2022 8:30	1188	NAN	3.918				
01/10/2022 9:00	1189	NAN	3.918				
01/10/2022 9:30	1190	NAN	3.918				
01/10/2022 10:00	1191	NAN	3.918				
01/10/2022 10:30	1192	NAN	3.918				
01/10/2022 11:00	1193	NAN	3.918				
01/10/2022 11:30	1194	NAN	3.918				
01/10/2022 12:00	1195	NAN	3.918				
01/10/2022 12:30	1196	NAN	3.918				
01/10/2022 13:00	1197	NAN	3.918				
01/10/2022 13:30	1198	NAN	3.918				
01/10/2022 14:00	1199	NAN	3.918				
01/10/2022 14:30	1200	NAN	3.918				
01/10/2022 15:00	1201	NAN	3.918				
01/10/2022 15:30	1202	NAN	3.918				
01/10/2022 16:00	1203	NAN	3.918				
01/10/2022 16:30	1204	NAN	3.918				
01/10/2022 17:00	1205	NAN	3.918				
01/10/2022 17:30	1206	NAN	3.918				
01/10/2022 18:00	1207	NAN	3.918				
01/10/2022 18:30	1208	NAN	3.918				
01/10/2022 19:00	1209	NAN	3.918				
01/10/2022 19:30	1210	NAN	3.918				
01/10/2022 20:00	1211	NAN	3.918				
01/10/2022 20:30	1212	NAN	3.918				
01/10/2022 21:00	1213	NAN	3.918				
01/10/2022 21:30	1214	NAN	3.918				
01/10/2022 22:00	1215	NAN	3.918				
01/10/2022 22:30	1216	NAN	3.918				
01/10/2022 23:00	1217	NAN	3.918				
01/10/2022 23:30	1218	NAN	3.918				
02/10/2022 0:00	1219	NAN	3.918				
02/10/2022 0:30	1220	NAN	3.918				
02/10/2022 1:00	1221	NAN	3.918				
02/10/2022 1:30	1222	NAN	3.918				
02/10/2022 2:00	1223	NAN	3.918				
02/10/2022 2:30	1224	NAN	3.918				
02/10/2022 3:00	1225	NAN	3.918				
02/10/2022 3:30	1226	NAN	3.918				
02/10/2022 4:00	1227	NAN	3.918				
02/10/2022 4:30	1228	NAN	3.918				
02/10/2022 5:00	1229	NAN	3.918				
02/10/2022 5:30	1230	NAN	3.918				
02/10/2022 6:00	1231	NAN	3.918				
02/10/2022 6:30	1232	NAN	3.918				
02/10/2022 7:00	1233	NAN	3.918				
02/10/2022 7:30	1234	NAN	3.918				
02/10/2022 8:00	1235	NAN	3.918				
02/10/2022 8:30	1236	NAN	3.918				
02/10/2022 9:00	1237	NAN	3.918				
02/10/2022 9:30	1238	NAN	3.918				
02/10/2022 10:00	1239	NAN	3.918				
02/10/2022 10:30	1240	NAN	3.918				
02/10/2022 11:00	1241	NAN	3.918				
02/10/2022 11:30	1242	NAN	3.918				
02/10/2022 12:00	1243	NAN	3.918				
02/10/2022 12:30	1244	NAN	3.918				
02/10/2022 13:00	1245	NAN	3.918				
02/10/2022 13:30	1246	NAN	3.918				
02/10/2022 14:00	1247	NAN	3.918				
02/10/2022 14:30	1248	NAN	3.918				
02/10/2022 15:00	1249	NAN	3.918				
02/10/2022 15:30	1250	NAN	3.918				
02/10/2022 16:00	1251	NAN	3.918				
02/10/2022 16:30	1252	NAN	3.918				
02/10/2022 17:00	1253	NAN	3.918				
02/10/2022 17:30	1254	NAN	3.918				
02/10/2022 18:00	1255	NAN	3.918				
02/10/2022 18:30	1256	NAN	3.918				
02/10/2022 19:00	1257	NAN	3.918				
02/10/2022 19:30	1258	NAN	3.918				
02/10/2022 20:00	1259	NAN	3.918				
02/10/2022 20:30	1260	NAN	3.918				
02/10/2022 21:00	1261	NAN	3.918				
02/10/2022 21:30	1262	NAN	3.918				
02/10/2022 22:00	1263	NAN	3.918				
02/10/2022 22:30	1264	NAN	3.918				
02/10/2022 23:00	1265	NAN	3.918				
02/10/2022 23:30	1266	NAN	3.918				
03/10/2022 0:00	1267	NAN	3.918				
03/10/2022 0:30	1268	NAN	3.918				
03/10/2022 1:00	1269	NAN	3.918				
03/10/2022 1:30	1270	NAN	3.918				
03/10/2022 2:00	1271	NAN	3.918				
03/10/2022 2:30	1272	NAN	3.918				
03/10/2022 3:00	1273	NAN	3.918				
03/10/2022 3:30	1274	NAN	3.918				
03/10/2022 4:00	1275	NAN	3.918				
03/10/2022 4:30	1276	NAN	3.918				
03/10/2022 5:00	1277	NAN	3.918				
03/10/2022 5:30	1278	NAN	3.918				
03/10/2022 6:00	1279	NAN	3.918				
03/10/2022 6:30	1280	NAN	3.918				
03/10/2022 7:00	1281	NAN	3.918				
03/10/2022 7:30	1282	NAN	3.918				
03/10/2022 8:00	1283	NAN	3.918				
03/10/2022 8:30	1284	NAN	3.918				
03/10/2022 9:00	1285	NAN	3.918				
03/10/2022 9:30	1286	NAN	3.918				
03/10/2022 10:00	1287	NAN	3.918				
03/10/2022 10:30	1288	NAN	3.918				
03/10/2022 11:00	1289	NAN	3.918				
03/10/2022 11:30	1290	NAN	3.918				
03/10/2022 12:00	1291	NAN	3.918				
03/10/2022 12:30	1292	NAN	3.918				
03/10/2022 13:00	1293	NAN	3.918				
03/10/2022 13:30	1294	NAN	3.918				
03/10/2022 14:00	1295	NAN	3.918				
03/10/2022 14:30	1296	NAN	3.918				
03/10/2022 15:00	1297	NAN	3.918				
03/10/2022 15:30	1298	NAN	3.918				
03/10/2022 16:00	1299	NAN	3.918				
03/10/2022 16:30	1300	NAN	3.918				
03/10/2022 17:00	1301	NAN	3.918				
03/10/2022 17:30	1302	NAN	3.918				
03/10/2022 18:00	1303	NAN	3.918				
03/10/2022 18:30	1304	NAN	3.918				
03/10/2022 19:00	1305	NAN	3.918				
03/10/2022 19:30	1306	NAN	3.918				
03/10/2022 20:00	1307	NAN	3.918				
03/10/2022 20:30	1308	NAN	3.918				
03/10/2022 21:00	1309	NAN	3.918				
03/10/2022 21:30	1310	NAN	3.918				
03/10/2022 22:00	1311	NAN	3.918				
03/10/2022 22:30	1312	NAN	3.918				
03/10/2022 23:00	1313	NAN	3.918				
03/10/2022 23:30	1314	NAN	3.918				
04/10/2022 0:00	1315	NAN	3.918				
04/10/2022 0:30	1316	NAN	3.918				
04/10/2022 1:00	1317	NAN	3.918				
04/10/2022 1:30	1318	NAN	3.918				
04/10/2022 2:00	1319	NAN	3.918				
04/10/2022 2:30	1320	NAN	3.918				
04/10/2022 3:00	1321	NAN	3.918				
04/10/2022 3:30	1322	NAN	3.918				
04/10/2022 4:00	1323	NAN	3.918				
04/10/2022 4:30	1324	NAN	3.918				
04/10/2022 5:00	1325	NAN	3.918				
04/10/2022 5:30	1326	NAN	3.918				
04/10/2022 6:00	1327	NAN	3.918				
04/10/2022 6:30	1328	NAN	3.918				
04/10/2022 7:00	1329	NAN	3.918				
04/10/2022 7:30	1330	NAN	3.918				
04/10/2022 8:00	1331	NAN	3.918				
04/10/2022 8:30	1332	NAN	3.918				
04/10/2022 9:00	1333	NAN	3.918				
04/10/2022 9:30	1334	NAN	3.918				
04/10/2022 10:00	1335	NAN	3.918				
04/10/2022 10:30	1336	NAN	3.918				
04/10/2022 11:00	1337	NAN	3.918				
04/10/2022 11:30	1338	NAN	3.918				
04/10/2022 12:00	1339	NAN	3.918				
04/10/2022 12:30	1340	NAN	3.918				
04/10/2022 13:00	1341	NAN	3.918				
04/10/2022 13:30	1342	NAN	3.918				
04/10/2022 14:00	1343	NAN	3.918				
04/10/2022 14:30	1344	NAN	3.918				
04/10/2022 15:00	1345	NAN	3.918				
04/10/2022 15:30	1346	NAN	3.918				
04/10/2022 16:00	1347	NAN	3.918				
04/10/2022 16:30	1348	NAN	3.918				
04/10/2022 17:00	1349	NAN	3.918				
04/10/2022 17:30	1350	NAN	3.918				
04/10/2022 18:00	1351	NAN	3.918				
04/10/2022 18:30	1352	NAN	3.918				
04/10/2022 19:00	1353	NAN	3.918				
04/10/2022 19:30	1354	NAN	3.918				
04/10/2022 20:00	1355	NAN	3.918				
04/10/2022 20:30	1356	NAN	3.918				
04/10/2022 21:00	1357	NAN	3.918				
04/10/2022 21:30	1358	NAN	3.918				
04/10/2022 22:00	1359	NAN	3.918				
04/10/2022 22:30	1360	NAN	3.918				
04/10/2022 23:00	1361	NAN	3.918				
04/10/2022 23:30	1362	NAN	3.918				
05/10/2022 0:00	1363	NAN	3.918				
05/10/2022 0:30	1364	NAN	3.918				
05/10/2022 1:00	1365	NAN	3.918				
05/10/2022 1:30	1366	NAN	3.918				
05/10/2022 2:00	1367	NAN	3.918				
05/10/2022 2:30	1368	NAN	3.918				
05/10/2022 3:00	1369	NAN	3.918				
05/10/2022 3:30	1370	NAN	3.918				
05/10/2022 4:00	1371	NAN	3.918				
05/10/2022 4:30	1372	NAN	3.918				
05/10/2022 5:00	1373	NAN	3.918				
05/10/2022 5:30	1374	NAN	3.918				
05/10/2022 6:00	1375	NAN	3.918				
05/10/2022 6:30	1376	NAN	3.918				
05/10/2022 7:00	1377	NAN	3.918				
05/10/2022 7:30	1378	NAN	3.918				
05/10/2022 8:00	1379	NAN	3.918				
05/10/2022 8:30	1380	NAN	3.918				
05/10/2022 9:00	1381	NAN	3.918				
05/10/2022 9:30	1382	NAN	3.918				
05/10/2022 10:00	1383	NAN	3.918				
05/10/2022 10:30	1384	NAN	3.918				
05/10/2022 11:00	1385	NAN	3.918				
05/10/2022 11:30	1386	NAN	3.918				
05/10/2022 12:00	1387	NAN	3.918				
05/10/2022 12:30	1388	NAN	3.918				
05/10/2022 13:00	1389	NAN	3.918				
05/10/2022 13:30	1390	NAN	3.918				
05/10/2022 14:00	1391	NAN	3.918				
05/10/2022 14:30	1392	NAN	3.918				
05/10/2022 15:00	1393	NAN	3.918				
05/10/2022 15:30	1394	NAN	3.918				
05/10/2022 16:00	1395	NAN	3.918				
05/10/2022 16:30	1396	NAN	3.918				
05/10/2022 17:00	1397	NAN	3.918				
05/10/2022 17:30	1398	NAN	3.918				
05/10/2022 18:00	1399	NAN	3.918				
05/10/2022 18:30	1400	NAN	3.918				
05/10/2022 19:00	1401	NAN	3.918				
05/10/2022 19:30	1402	NAN	3.918				
05/10/2022 20:00	1403	NAN	3.918				
05/10/2022 20:30	1404	NAN	3.918				
05/10/2022 21:00	1405	NAN	3.918				
05/10/2022 21:30	1406	NAN	3.918				
05/10/2022 22:00	1407	NAN	3.918				
05/10/2022 22:30	1408	NAN	3.918				
05/10/2022 23:00	1409	NAN	3.918				
05/10/2022 23:30	1410	NAN	3.918				
06/10/2022 0:00	1411	NAN	3.918				
06/10/2022 0:30	1412	NAN	3.918				
06/10/2022 1:00	1413	NAN	3.918				
06/10/2022 1:30	1414	NAN	3.918				
06/10/2022 2:00	1415	NAN	3.918				
06/10/2022 2:30	1416	NAN	3.918				
06/10/2022 3:00	1417	NAN	3.918				
06/10/2022 3:30	1418	NAN	3.918				
06/10/2022 4:00	1419	NAN	3.918				
06/10/2022 4:30	1420	NAN	3.918				
06/10/2022 5:00	1421	NAN	3.918				
06/10/2022 5:30	1422	NAN	3.918				
06/10/2022 6:00	1423	NAN	3.918				
06/10/2022 6:30	1424	NAN	3.918				
06/10/2022 7:00	1425	NAN	3.918				
06/10/2022 7:30	1426	NAN	3.918				
06/10/2022 8:00	1427	NAN	3.918				
06/10/2022 8:30	1428	NAN	3.918				
06/10/2022 9:00	1429	NAN	3.918				
06/10/2022 9:30	1430	NAN	3.918				
06/10/2022 10:00	1431	NAN	3.918				
06/10/2022 10:30	1432	NAN	3.918				
06/10/2022 11:00	1433	NAN	3.918				
06/10/2022 11:30	1434	NAN	3.918				
06/10/2022 12:00	1435	NAN	3.918				
06/10/2022 12:30	1436	NAN	3.918				
06/10/2022 13:00	1437	NAN	3.918				
06/10/2022 13:30	1438	NAN	3.918				
06/10/2022 14:00	1439	NAN	3.918				
06/10/2022 14:30	1440	NAN	3.918				
06/10/2022 15:00	1441	NAN	3.918				
06/10/2022 15:30	1442	NAN	3.918				
06/10/2022 16:00	1443	NAN	3.918				
06/10/2022 16:30	1444	NAN	3.918				
06/10/2022 17:00	1445	NAN	3.918				
06/10/2022 17:30	1446	NAN	3.918				
06/10/2022 18:00	1447	NAN	3.918				
06/10/2022 18:30	1448	NAN	3.918				
06/10/2022 19:00	1449	NAN	3.918				
06/10/2022 19:30	1450	NAN	3.918				
06/10/2022 20:00	1451	NAN	3.918				
06/10/2022 20:30	1452	NAN	3.918				
06/10/2022 21:00	1453	NAN	3.918				
06/10/2022 21:30	1454	NAN	3.918				
06/10/2022 22:00	1455	NAN	3.918				
06/10/2022 22:30	1456	NAN	3.918				
06/10/2022 23:00	1457	NAN	3.918				
06/10/2022 23:30	1458	NAN	3.918				
07/10/2022 0:00	1459	NAN	3.918				
07/10/2022 0:30	1460	NAN	3.918				
07/10/2022 1:00	1461	NAN	3.918				
07/10/2022 1:30	1462	NAN	3.918				
07/10/2022 2:00	1463	NAN	3.918				
