time	hru_ea(1)	hru_ea(2)	hru_ea(3)	hru_ea(4)	hru_ea(5)	hru_ea(6)	hru_ea(7)	hru_ea(8)	hru_ea(9)	hru_ea(10)	hru_ea(11)	hru_ea(12)	hru_ea(13)	hru_ea(14)	hru_ea(15)	hru_ea(16)	hru_ea(17)	hru_ea(18)	hru_ea(19)	hru_ea(20)	hru_ea(21)	hru_ea(22)	hru_ea(23)	hru_ea(24)	hru_ea(25)	hru_ea(26)	hru_ea(27)	hru_ea(28)	hru_ea(29)	hru_ea(30)	hru_ea(31)	hru_ea(32)	hru_ea(33)	hru_ea(34)	hru_ea(35)	hru_ea(36)	hru_ea(37)	hru_ea(38)	hru_ea(39)	hru_ea(40)	hru_ea(41)	hru_ea(42)	hru_ea(43)	hru_ea(44)	hru_ea(45)	hru_ea(46)	hru_ea(47)	hru_ea(48)
units	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)
2022-03-01T21:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-01T22:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-01T23:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T01:00	0.2783631	0.2737149	0.2842613	0.3030597	0.2903898	0.2651789	0.2921217	0.3149606	0.3457926	0.2908119	0.301022	0.3436668	0.2465216	0.3829753	0.3906529	0.3871206	0.3766663	0.2748609	0.2661818	0.2835918	0.3083345	0.4391042	0.2697933	0.3006283	0.4323876	0.3772476	0.4395957	0.4348742	0.3005869	0.3074463	0.3030806	0.3076575	0.3446232	0.2691915	0.4573452	0.274727	0.3871206	0.260324	0.4601079	0.2396877	0.4376902	0.2569147	0.2814744	0.2614205	0.2696992	0.2730102	0.3449736	0.3118244
2022-03-02T02:00	0.2566909	0.2523975	0.2621389	0.2795038	0.2677999	0.2445136	0.2693997	0.290498	0.318984	0.2681898	0.2776214	0.3170198	0.2272828	0.3533425	0.3604377	0.3571733	0.3475124	0.253456	0.2454398	0.2615205	0.2843766	0.4052178	0.2487755	0.2772577	0.3990097	0.3480495	0.4056721	0.401308	0.2772194	0.2835561	0.2795231	0.2837513	0.3179035	0.2482197	0.4220787	0.2533323	0.3571733	0.2400297	0.4246324	0.2209718	0.4039108	0.2368809	0.2595647	0.2410423	0.2486886	0.2517467	0.3182273	0.2876007
2022-03-02T03:00	0.2588553	0.2548234	0.2639528	0.2801714	0.2692501	0.2474256	0.2707478	0.2904125	0.3168263	0.2696099	0.2784171	0.3150137	0.2311883	0.3485007	0.3550187	0.3520171	0.3431381	0.2558173	0.2482901	0.2633746	0.2847171	0.3959809	0.2514242	0.2780789	0.3903157	0.3436373	0.3963902	0.3924177	0.278047	0.2839496	0.2801907	0.2841315	0.3158332	0.2509053	0.4113286	0.2557047	0.3520249	0.2432053	0.4136472	0.225225	0.39479	0.2402403	0.2615441	0.2441591	0.2513425	0.2542158	0.3161258	0.2877133
2022-03-02T04:00	0.2609081	0.2571427	0.2656496	0.2807109	0.2705786	0.2502418	0.2719731	0.2901968	0.31455	0.270908	0.2790855	0.3128873	0.2350286	0.3435852	0.3495393	0.3467943	0.3386803	0.2580706	0.2510431	0.2651123	0.284928	0.3867982	0.253971	0.2787729	0.3816572	0.3391422	0.3871641	0.3835696	0.2787474	0.2842138	0.2807302	0.2843824	0.3136434	0.2534897	0.4006892	0.2579693	0.3468098	0.2462922	0.402782	0.2294268	0.3857194	0.243516	0.2634089	0.2471855	0.2538946	0.2565791	0.3139052	0.287696
2022-03-02T05:00	0.2628422	0.2593478	0.2672226	0.281117	0.2717791	0.2529541	0.2730693	0.2898464	0.3121526	0.2720778	0.2796211	0.3106381	0.2387946	0.3385954	0.3439993	0.3415046	0.3341381	0.2602086	0.2536907	0.2667266	0.2850045	0.3776695	0.256408	0.2793342	0.373034	0.3345636	0.3779937	0.3747633	0.2793151	0.2843436	0.2811363	0.284499	0.3113314	0.2559652	0.3901596	0.2601188	0.3415274	0.2492817	0.3920357	0.2335678	0.3766986	0.2466997	0.2651522	0.250113	0.2563371	0.258829	0.3115628	0.2875439
2022-03-02T06:00	0.2123783	0.2095258	0.215992	0.2274089	0.2197352	0.2042753	0.2207783	0.2345655	0.2529213	0.2199767	0.2261679	0.2516605	0.192665	0.2746881	0.2791259	0.2770841	0.2710194	0.2102212	0.2048844	0.2155763	0.2305848	0.3068976	0.2071077	0.2259359	0.3030731	0.2713643	0.307181	0.3044973	0.225905	0.2300501	0.2274089	0.2301758	0.2522391	0.2067357	0.3172068	0.2101632	0.2771026	0.2012675	0.3187519	0.1883681	0.3060889	0.199141	0.2142891	0.2019387	0.2070504	0.2091066	0.2524436	0.2326866
