time	Albedo(1)	Albedo(2)	Albedo(3)	Albedo(4)	Albedo(5)	Albedo(6)	Albedo(7)	Albedo(8)	Albedo(9)	Albedo(10)	Albedo(11)	Albedo(12)	Albedo(13)	Albedo(14)	Albedo(15)	Albedo(16)	Albedo(17)	Albedo(18)	Albedo(19)	Albedo(20)	Albedo(21)	Albedo(22)	Albedo(23)	Albedo(24)	Albedo(25)	Albedo(26)	Albedo(27)	Albedo(28)	Albedo(29)	Albedo(30)	Albedo(31)	Albedo(32)	Albedo(33)	Albedo(34)	Albedo(35)	Albedo(36)	Albedo(37)	Albedo(38)	Albedo(39)	Albedo(40)	Albedo(41)	Albedo(42)	Albedo(43)	Albedo(44)	Albedo(45)	Albedo(46)	Albedo(47)	Albedo(48)
units	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()
2022-03-01T13:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T14:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T15:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T16:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T17:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T18:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T19:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T20:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T21:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T22:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T23:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T00:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T01:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T02:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T03:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T04:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T05:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T06:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T07:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T08:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T09:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T10:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T11:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T12:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T13:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T14:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T15:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T16:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T17:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T18:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T19:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T20:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T21:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T22:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-02T23:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T00:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T01:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T02:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T03:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T04:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T05:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T06:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T07:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T08:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T09:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T10:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T11:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T12:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T13:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T14:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T15:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T16:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-03T17:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
