"var","var_total","in_or_out"
"firn",0,"in"
"gw",72.1120398618237,"in"
"ice",1516.51643805949,"in"
"Sd",0,"in"
"soil_moist",-84.5727831612764,"in"
"SWE",-193.054053086919,"in"
"basinflow",4710.03447445483,"out"
"basingw",72.444203728631,"out"
"E_s_int",1083.55137039067,"out"
"hru_actet",183.155625631836,"out"
"hru_drift",141.250702623948,"out"
"hru_rain",980.109007947608,"in"
"hru_snow",4613.33696339025,"in"
"hru_subl",683.052389061172,"out"
"intcp_evap",0,"out"
"Subl_Cpy",0,"out"
