time	hru_u(1)	hru_u(2)	hru_u(3)	hru_u(4)	hru_u(5)	hru_u(6)	hru_u(7)	hru_u(8)	hru_u(9)	hru_u(10)	hru_u(11)	hru_u(12)	hru_u(13)	hru_u(14)	hru_u(15)	hru_u(16)	hru_u(17)	hru_u(18)	hru_u(19)	hru_u(20)	hru_u(21)	hru_u(22)	hru_u(23)	hru_u(24)	hru_u(25)	hru_u(26)	hru_u(27)	hru_u(28)	hru_u(29)	hru_u(30)	hru_u(31)	hru_u(32)	hru_u(33)	hru_u(34)	hru_u(35)	hru_u(36)	hru_u(37)	hru_u(38)	hru_u(39)	hru_u(40)	hru_u(41)	hru_u(42)	hru_u(43)	hru_u(44)	hru_u(45)	hru_u(46)	hru_u(47)	hru_u(48)
units	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)
2022-03-02T10:00	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3
2022-03-02T11:00	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375
2022-03-02T12:00	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175
2022-03-02T13:00	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125	1.1125
2022-03-02T14:00	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
2022-03-02T15:00	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875	0.9875
2022-03-02T16:00	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925
2022-03-02T17:00	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625	0.8625
2022-03-02T18:00	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
2022-03-02T19:00	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667	1.166667
2022-03-02T20:00	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333	1.533333
2022-03-02T21:00	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9
2022-03-02T22:00	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667	1.266667
2022-03-02T23:00	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333	0.6333333
