TOA5	CR3000	CR3000	6126	CR3000.Std.22	CPU:EMAM_Echaurren_2022sep.CR3	39792	Echaurren_prom											
TIMESTAMP	RECORD	batt_volt_Min	short_up_Avg	short_dn_Avg	long_up_corr_Avg	long_dn_corr_Avg	WinVel_Avg	WinDir_Avg	Taire_Avg	Haire_Avg	T_Aspirado_Avg	H_Aspirado_Avg	BP_hPA_Avg	T_Sup_Avg	DetectorTC_Avg	ejex_Avg	ejey_Avg	Profundidad_Avg
TS	RN	volts	W/m^2	W/m^2	W/m^2	W/m^2	m/s	grados	c	%	c	%	hPA			grados	grados	m
		Min	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg
19/10/2022 14:00	518	13.67	2.124.257	1.541.297	2.984.991	3.043.488	1.338	142.1	-3.221	81.8	-2.758.699	7.570.216	653.2	-2.709.066	-1.120.767	9.87	1.53	7.945
19/10/2022 15:00	519	13.29	2.371.767	2.773.897	3.091.662	3.024.174	0.682	169.5	-2.66	83.3	-2.914.141	7.743.918	653.4	-3.167.883	-2.182.133	9.86	1.514	7.944
19/10/2022 16:00	520	12.98	1.662.131	2.355.068	3.107.056	3.015.905	1.373	131.4	-2.681	81.5	-2.177.654	7.398.062	653.8	-3.948.334	-2.018.117	9.86	1.53	7.936
19/10/2022 17:00	521	12.78	1.695.768	2.382.414	3.088.249	2.981.079	0.645	153.5	-3.201	86.6	-2.846.069	7.277.975	653.8	-4.535.067	-1.697.717	9.86	1.525	7.936
19/10/2022 18:00	522	12.71	8.354.992	1.261.855	3.039.951	2.944.418	0.83	186	-4.568	86.4	-3.962.477	7.688.796	654	-5.398.117	-245.625	9.86	1.531	7.934
19/10/2022 19:00	523	12.64	2.825.723	6.888.197	2.956.819	2.906.021	0.817	181.3	-5.697	90.6	-5.603.741	8.603.422	654.3	-6.044.883	-4.457.483	9.87	1.532	7.94
19/10/2022 20:00	524	12.55	6.032.549	1.453.328	2.892.509	2.882.548	2.259	244.2	-6.451	93.7	-6.507.248	9.115.444	654.8	-6.421.833	-594.755	9.88	1.509	7.945
19/10/2022 21:00	525	12.54	-0.517153	0.3370239	2.867.291	2.865.177	1.192	141.4	-6.619	93.1	-676.072	908.036	655.3	-6.744.549	-643.845	9.87	1.526	7.948
19/10/2022 22:00	526	12.53	-249.556	0.8225486	283.045	2.718.191	1.778	144.4	-6.623	86.8	-6.935.157	8.459.155	655.6	-1.073.895	-6.887.333	9.89	1.532	7.949
19/10/2022 23:00	527	12.52	-3.649.179	0.8597912	2.762.952	2.547.173	0.608	196.7	-7.138	78.98	-7.478.458	7.619.821	655.7	-1.523.265	-792.105	9.9	1.525	7.946
20/10/2022 0:00	528	12.51	-3.892.722	2.576.524	2.759.595	2.561.269	1.302	82.5	-6.805	68.34	-7.226.072	6.880.836	655.6	-147.416	-8.062.383	9.9	1.517	7.952
20/10/2022 1:00	529	12.49	-3.514.091	1.200.175	2.754.115	2.539.967	1.732	226.3	-7.157	69.51	-7.570.273	6.992.725	655.6	-1.545.797	-8.072.467	9.9	1.527	7.949
20/10/2022 2:00	530	12.49	-5.894.629	184.669	2.757.378	2.515.377	1.244	206	-6.507	50.15	-6.962.387	507.569	655.4	-1.615.015	-7.657.933	9.91	1.524	7.948
20/10/2022 3:00	531	12.47	-4.362.284	2.298.304	2.793.325	258.149	2.615	131.4	-5.975	62.96	-641.957	6.354.885	655.3	-140.263	-6.643.633	9.91	1.535	7.949
20/10/2022 4:00	532	12.48	-4.574.126	1.744.525	279.225	2.566.107	2.764	180.2	-6.085	59.73	-6.565.886	6.038.063	655.2	-1.460.405	-662.825	9.92	1.538	7.951
20/10/2022 5:00	533	12.46	-6.770.519	215.585	2.814.357	2.637.107	4.765	32.35	-5.715	51.44	-6.118.898	5.172.295	654.9	-1.289.923	-6.024.866	9.9	1.519	7.951
20/10/2022 6:00	534	12.48	-8.618.863	2.421.715	2.796.441	2.560.893	2.541	202.1	-5.644	40.21	-5.967.212	4.011.889	655.2	-1.462.307	-5.966.967	9.89	1.523	7.947
20/10/2022 7:00	535	12.45	-6.872.086	5.842.617	2.788.824	2.528.784	2.25	232	-5.047	31.34	-5.618.771	3.190.562	655.4	-1.569.817	-5.497.583	9.91	1.536	7.943
20/10/2022 8:00	536	12.45	2.808.758	4.225.277	2.818.585	2.555.709	1.754	46.4	-4.457	30.02	-4.903.825	3.037.883	655.9	-1.488.093	-493.235	9.9	1.532	7.944
20/10/2022 9:00	537	12.48	1.215.568	3.626.141	3.066.895	2.802.206	1.548	46.38	-0.304	24.29	0.4071999	2.286.168	656.3	-8.842.083	-0.7577167	9.88	1.533	7.945
20/10/2022 10:00	538	12.5	6.405.535	5.613.049	3.177.295	303.152	1.367	95.3	4.441	18.79	5.193.266	1.756.228	656.7	-4.154.233	4.342.367	9.85	1.533	7.919
20/10/2022 11:00	539	12.59	8.880.886	6.688.538	241.889	3.182.187	1.733	84.3	9.1	15.27	1.075.674	1.303.283	657	-3.183.333	8.275.666	9.84	1.527	7.901
20/10/2022 12:00	540	12.9	9.989.321	7.507.145	2.226.159	3.190.603	1.644	89.6	5.182	18.34	6.407.944	1.658.578	657.2	-17.822	5.693.483	9.85	1.55	7.908
20/10/2022 13:00	541	13.72	1.072.757	7.633.237	2.240.402	3.218.517	2.105	78.15	4.495	21.41	649.275	1.835.046	657.2	-19.165	1.018.463	9.84	1.565	7.903
20/10/2022 14:00	542	13.78	1.074.983	7.378.461	2.295.001	3.277.856	1.268	119.3	5.948	27.33	7.380.011	2.435.683	657.4	-10.534	1.430.293	9.83	1.569	7.887
20/10/2022 15:00	543	13.64	1.006.105	6.412.117	2.339.815	3.218.444	3.203	226.3	4.451	38.49	5.563.134	3.394.373	657.4	-1.258.417	1.055.058	9.83	1.588	7.873
20/10/2022 16:00	544	13.79	871.375	5.430.631	2.284.636	3.140.299	5.126	241.8	1.12	48.77	1.792.182	4.471.295	657.1	-2.326.317	602.515	9.88	1.567	7.883
20/10/2022 17:00	545	13.5	2.791.129	1.600.925	2.245.201	3.012.823	4.979	239.3	-0.496	56.79	-0.2320258	539.057	656.7	-5.041	1.170.233	9.92	1.616	7.901
20/10/2022 18:00	546	13.16	4.060.484	3.653.428	2.189.653	2.939.285	4.697	255.9	-1.373	61.14	-1.514.028	5.995.103	656.5	-5.835.249	-1.422.467	9.89	1.561	7.924
20/10/2022 19:00	547	12.94	2.722.809	2.653.011	2.162.075	2.879.824	2.286	228	-1.849	60.56	-1.990.477	5.929.518	656.4	-7.333.517	-205.535	9.91	1.583	7.927
20/10/2022 20:00	548	12.71	1.034.663	1.272.414	2.159.257	2.845.283	1.874	88.1	-2.312	64.41	-2.548.681	6.359.558	656.3	-7.947.666	-2.682.183	9.92	1.6	7.93
20/10/2022 21:00	549	12.66	-2.786.166	1.960.147	2.159.779	2.814.922	1.379	175.8	-2.92	70	-3.160.415	6.927.599	656.4	-8.640.233	-3.197.866	9.92	1.604	7.929
20/10/2022 22:00	550	12.63	-1.941.453	2.674.585	2.150.739	2.796.771	0.972	160.9	-3.09	71.51	-3.428.619	7.148.985	656.6	-8.938.617	-34.054	9.92	1.589	7.933
20/10/2022 23:00	551	12.59	-2.252.379	272.104	2.130.873	278.407	1.108	213.2	-2.926	68.83	-3.200.325	6.822.285	656.7	-9.254.399	-3.278.733	9.92	1.589	7.932
21/10/2022 0:00	552	12.4	-2.458.746	2.854.073	2.091.481	2.744.458	0.905	189	-3.644	64.46	-3.902.815	6.398.025	656.7	-1.021.238	-4.056.467	9.92	1.592	7.931
21/10/2022 1:00	553	12.6	-190.774	2.625.384	2.076.044	2.724.753	1.803	229.5	-3.614	56.64	-4.037.376	5.684.029	656.3	-1.063.318	-4.040.183	9.93	1.604	7.928
21/10/2022 2:00	554	12.57	-255.217	2.272.891	209.779	271.888	0.847	129	-3.475	52.41	-386.007	5.236.302	655.7	-1.087.922	-399.015	9.92	1.593	7.928
21/10/2022 3:00	555	12.51	-1.780.551	2.272.855	2.237.467	2.742.587	0.498	219.5	-3.416	46.72	-3.758.269	4.650.415	655.1	-1.018.142	-4.002.616	9.93	1.595	7.932
21/10/2022 4:00	556	12.51	-2.439.018	1.969.758	2.183.675	2.732.116	1.384	129.5	-3.381	40.12	-3.664.565	3.976.965	654.4	-1.058.885	-3.953.166	9.93	1.596	7.928
21/10/2022 5:00	557	12.5	-1.766.369	1.920.267	2.243.513	272.499	1.361	135.5	-3.293	36.96	-3.636.462	3.682.797	654.2	-1.074.018	-3.709.283	9.93	1.603	7.926
21/10/2022 6:00	558	12.48	-2.385.219	1.338.893	2.295.468	2.760.633	1.351	161.2	-3.488	44.67	-3.738.626	441.627	654.2	-9.870.133	-377.955	9.92	1.599	7.925
21/10/2022 7:00	559	12.45	0.3674216	3.191.097	2.361.863	2.754.702	1.299	114.9	-3.939	48.69	-4.267.816	4.842.497	654.1	-99.173	-441.315	9.91	1.6	7.923
21/10/2022 8:00	560	12.45	4.851.151	3.646.443	2.583.604	2.829.624	1.396	238.9	-3.091	40.64	-339.213	4.013.597	654	-8.037.066	-3.383.116	9.92	1.609	7.923
21/10/2022 9:00	561	12.63	1.860.325	1.354.373	2.545.103	2.884.968	1.222	222.2	-2.028	38.72	-224.939	3.814.512	654.2	-7.105.316	-2.138.016	9.92	1.612	7.925
21/10/2022 10:00	562	13.31	7.345.622	5.218.481	2.283.242	3.060.383	2.143	145.2	1.471	33.39	1.352.145	3.245.661	654.4	-3.511.766	0.8659166	9.89	1.577	7.919
21/10/2022 11:00	563	13.93	9.260.259	6.322.083	2.348.745	3.184.063	2.58	166.9	3.31	29.53	3.728.429	275.823	654.6	-2.263.617	2.729.816	9.88	1.647	7.902
21/10/2022 12:00	564	13.86	NAN	5.619.177	2.388.035	3.173.598	1.575	163.5	2.167	33.27	2.777.461	3.045.011	654.8	-161.615	228.905	9.88	1.61	7.906
21/10/2022 13:00	565	13.96	NAN	595.686	2.424.147	320.664	3.092	164.5	1.937	44.37	2.337.285	4.134.732	655	-1.961.867	231.385	9.9	1.629	7.91
21/10/2022 14:00	566	13.97	6.316.399	416.826	2.624.476	3.139.049	4.521	138.1	-0.126	56.55	0.3167591	5.331.563	655	-2.146.267	1.779.633	9.8	1.627	7.901
21/10/2022 15:00	567	14.21	536.166	3.522.769	2.554.698	3.089.196	5.472	95.6	-0.43	55.95	-0.3024146	5.387.807	655.2	-2.829.783	11.823	9.95	1.732	7.912
21/10/2022 16:00	568	14.23	567.835	3.664.199	2.645.911	3.151.615	1.935	158.3	1.203	49.82	1.498.918	4.702.742	655.2	-2.162.783	304.665	9.9	1.674	7.91
21/10/2022 17:00	569	14.19	3.516.377	233.065	2.661.975	312.4	2.907	122.7	0.805	54.96	145.503	5.095.956	655	-2.781.417	3.560.483	9.87	1.7	7.892
21/10/2022 18:00	570	14.17	2.246.014	1.561.793	2.755.066	3.091.133	2.175	138.8	-0.159	63.74	-0.0147597	6.113.649	655	-2.412.383	0.6843999	9.91	1.748	7.909
21/10/2022 19:00	571	13.6	842.291	6.122.729	2.710.011	3.052.807	2.438	145.1	-1.029	69.95	-0.9886068	6.755.643	655.1	-3.221.566	-0.5385666	9.88	1.749	7.912
21/10/2022 20:00	572	13.25	2.973.595	2.367.428	2.284.664	2.950.276	2.094	172.6	-1.602	61.62	-1.727.085	6.025.616	655.4	-5.657.099	-164.505	9.91	1.715	7.914
21/10/2022 21:00	573	12.93	-3.274.457	1.931.965	2.127.291	2.856.746	1.618	191	-1.98	50.25	-2.172.483	4.958.817	655.6	-7.988.916	-2.252.883	9.91	1.698	7.916
21/10/2022 22:00	574	12.78	-4.114.055	1.805.469	2.040.189	2.784.813	1.282	232.4	-2.387	42.7	-2.642.313	4.217.269	656	-9.835.166	-2.852.566	9.92	1.707	7.916
21/10/2022 23:00	575	12.68	-3.780.958	2.099.342	2.008.287	2.754.264	1.444	225.7	-2.415	33.44	-2.713.921	3.319.579	656.2	-104.619	-2.929.933	9.93	1.705	7.916
22/10/2022 0:00	576	12.64	-3.348.781	2.467.411	2.005.717	2.724.962	1.482	158.6	-2.467	30.62	-2.846.528	3.053.249	656.1	-1.114.093	-318.965	9.93	1.705	7.916
22/10/2022 1:00	577	12.66	-2.698.893	2.823.072	1.998.334	2.717.551	1.763	62.66	-2.527	29.28	-2.884.679	292.523	656	-1.111.807	-3.235.817	9.92	1.706	7.916
22/10/2022 2:00	578	12.57	-2.871.329	3.079.767	1.981.953	2.697.504	1.9	111.6	-2.452	27.69	-2.926.611	2.789.424	655.8	-1.175.492	-3.280.333	9.92	1.691	7.912
22/10/2022 3:00	579	12.56	-3.267.017	2.244.912	1.971.923	2.679.254	2.019	144.8	-2.506	24.91	-2.897.034	2.502.098	655.5	-1.237.135	-30.788	9.93	1.699	7.912
22/10/2022 4:00	580	12.56	-288.553	2.637.656	1.964.489	2.670.168	1.611	87.7	-2.556	23	-294.865	2.319.248	655.2	-1.244.438	-32.362	9.94	1.709	7.911
22/10/2022 5:00	581	12.51	-2.862.925	2.390.281	1.955.844	2.665.194	1.999	95	-2.287	21.93	-2.760.543	2.227.134	654.9	-126.937	-2.805.783	9.93	1.71	7.911
22/10/2022 6:00	582	12.45	-3.272.722	2.368.639	1.941.459	2.643.146	1.945	129.1	-2.492	21.31	-2.873.307	2.124.925	654.9	-1.339.505	-2.950.683	9.93	1.709	7.908
22/10/2022 7:00	583	12.41	0.03677903	4.533.324	1.920.511	2.629.287	1.878	120.3	-2.803	20.21	-3.217.813	2.050.343	655	-1.359.763	-3.255.733	9.94	1.708	7.907
22/10/2022 8:00	584	12.56	4.172.699	3.438.953	1.943.633	2.635.148	0.934	109	-1.582	17.54	-2.071.999	1.791.363	655.3	-1.356.675	-22.274	9.94	1.71	7.91
22/10/2022 9:00	585	12.71	4.769.143	3.299.004	2.035.504	289.56	0.796	184.2	4.18	14.67	3.600.787	1.457.947	655.8	-69.238	217.635	9.92	1.693	7.905
22/10/2022 10:00	586	13.65	7.071.785	4.793.253	2.101.652	3.134.343	1.288	205.2	5.738	12.56	6.354.391	1.171.899	656.3	-267.385	5.838.516	9.9	1.706	7.883
22/10/2022 11:00	587	13.85	900.99	584.134	2.144.217	3.195.921	2.632	131.3	5.216	10.72	5.866.497	102.174	656.6	-1.733.567	5.893.866	9.88	1.728	7.889
22/10/2022 12:00	588	13.88	1.029.649	638.597	2.197.959	3.230.627	3.377	119.7	5.393	13.08	6.118.416	1.226.373	656.9	-1.239.817	6.169.466	9.91	1.714	7.894
22/10/2022 13:00	589	13.81	1.085.506	6.314.167	2.275.149	3.279.008	3.421	162.4	6.956	17.09	749.348	1.588.596	657.1	-11.197	7.232.349	9.89	1.782	7.889
22/10/2022 14:00	590	13.77	1.080.999	6.104.616	231	3.290.959	2.949	123.2	6.688	21.87	7.422.466	2.013.298	657.1	-0.5426833	9.365.883	9.85	1.856	7.869
22/10/2022 15:00	591	13.82	1.016.161	547.555	2.305.259	3.229.483	3.789	127.6	5.034	28.28	5.610.404	2.650.871	657.1	-1.169.683	8.066.683	9.86	1.88	7.866
22/10/2022 16:00	592	13.94	8.684.686	4.609.928	2.295.443	3.227.487	2.449	136.8	4.798	32.66	527.308	307.528	656.8	-0.7899833	908.785	9.93	1.978	7.862
22/10/2022 17:00	593	13.53	2.949.284	1.671.118	2.283.384	3.115.596	2.408	135.3	3.16	41.75	35.161	3.962.916	656.8	-325.885	516.485	9.95	2.036	7.865
22/10/2022 18:00	594	13.25	5.012.712	3.861.937	2.263.326	3.022.231	1.32	163.1	1.592	50.82	1.551.826	4.949.876	656.8	-4.516.533	1.485.833	9.95	2.007	7.885
22/10/2022 19:00	595	13.08	5.491.542	3.938.271	2.317.786	3.013.312	1.365	201.7	1.004	58.77	0.8848839	5.748.974	656.8	-4.389.017	0.8847499	9.97	1.995	7.894
22/10/2022 20:00	596	12.89	118.919	1.268.689	2.209.049	2.959.725	1.715	182.9	0.41	58.24	0.2458038	5.716.281	657.2	-5.724.367	0.1766667	9.98	2.007	7.896
22/10/2022 21:00	597	12.72	-3.268.632	2.432.623	2.146.877	2.894.833	1.639	178.7	-0.508	53.18	-0.7617505	5.263.923	657.2	-7.145.433	-0.8610833	9.98	1.998	7.893
22/10/2022 22:00	598	12.67	-2.864.953	2.834.758	212.925	2.867.259	1.501	205.4	-0.539	44.86	-0.9220161	4.489.453	657.5	-7.681.133	-1.124.217	9.98	1.987	7.897
22/10/2022 23:00	599	12.65	-3.305.887	2.266.078	2.098.555	2.824.439	1.124	255.6	-0.974	46.01	-121.165	4.547.403	657.8	-8.929.467	-123.805	9.98	2.001	7.894
23/10/2022 0:00	600	12.58	-2.540.334	3.042.252	2.091.136	2.788.523	0.91	286.9	-1.734	46.51	-2.057.727	4.630.874	657.8	-968.925	-2.163.833	9.99	1.992	7.895
23/10/2022 1:00	601	12.56	-2.602.647	2.856.912	2.090.031	2.769.889	0.862	292.2	-1.928	43.36	-2.294.715	4.334.538	657.4	-1.014.125	-2.381.933	9.99	1.993	7.895
23/10/2022 2:00	602	12.56	-2.551.875	3.067.278	2.025.782	2.743.782	1.443	279.4	-2.142	38.53	-2.484.774	3.848.627	657.2	-1.086.833	-2.581.816	10	1.989	7.894
23/10/2022 3:00	603	12.54	-3.015.446	2.894.219	1.963.626	2.710.114	1.263	249.6	-2.258	31.68	-2.607	3.167.606	656.7	-1.169.907	-274.975	9.99	1.991	7.89
23/10/2022 4:00	604	12.52	-2.857.246	2.906.649	1.945.838	2.692.301	0.798	208.5	-1.727	24.9	-2.264.336	2.538.326	656.3	-1.228.898	-2.230.483	10	1.993	7.891
23/10/2022 5:00	605	12.52	-2.950.461	2.513.914	1.943.696	2.695.124	1.739	260.9	-1.401	21.96	-1.818.499	2.214.676	656.1	-1.222.323	-18.106	9.99	1.997	7.891
23/10/2022 6:00	606	12.5	-2.735.645	2.751.967	1.948.616	2.689.381	1.974	191.6	-1.544	20.33	-1.984.999	2.073.028	656.1	-1.223.652	-2.154.317	10	1.997	7.888
23/10/2022 7:00	607	12.47	-0.3278333	4.480.454	1.925.432	2.677.297	1.771	136.8	-1.794	19.52	-2.190.807	1.977.247	656.3	-1.249.797	-2.382.183	10	2.006	7.888
23/10/2022 8:00	608	12.5	4.058.797	3.149.291	1.945.512	2.688.923	1.537	80.4	-1.212	18.8	-1.637.488	1.921.074	656.6	-1.229.808	-1.891.617	10	1.994	7.888
23/10/2022 9:00	609	12.7	4.854.596	3.132.996	2.031.124	2.962.176	1.199	87.6	3.733	18.33	4.270.312	174.536	657.3	-5.186	2.826.566	9.98	1.985	7.89
23/10/2022 10:00	610	13.84	7.097.075	4.330.344	2.123.407	3.183.055	1.647	143.5	7.095	16.32	8.134.198	1.444.547	657.9	-15.733	7.189.416	9.96	1.999	7.869
23/10/2022 11:00	611	13.83	9.001.411	5.186.728	2.154.103	3.219.962	1.642	152.6	6.096	12.74	6.635.029	119.615	658.1	-0.6817166	5.936.733	9.95	2.01	7.875
23/10/2022 12:00	612	13.8	1.024.452	5.630.582	222.786	3.256.841	2.349	200.2	5.892	18.11	6.409.785	168.499	658.2	-1.008.233	5.253.167	9.95	2.061	7.881
23/10/2022 13:00	613	13.71	1.083.807	5.757.197	2.288.703	3.272.436	1.913	226.2	5.32	27.96	5.868.833	2.581.835	658.3	-0.6979333	5.520.533	9.96	2.087	7.876
23/10/2022 14:00	614	13.73	1.076.922	5.714.677	2.301.908	3.289.429	1.237	142.5	5.85	30.7	6.093.556	2.905.341	658	0.4861833	7.906.866	10.08	2.135	7.858
23/10/2022 15:00	615	13.82	1.003.157	508.933	2.345.992	3.271.811	3.274	229.1	5.556	33.1	6.044.017	3.089.336	657.8	-0.2715167	7.389.717	10.17	2.182	7.837
23/10/2022 16:00	616	13.68	8.686.597	4.378.883	237.417	3.259.192	3.152	203.8	5.442	37.66	5.757.533	3.582.534	657.6	-0.9342666	7.516.383	10.35	2.337	7.826
23/10/2022 17:00	617	13.51	3.601.934	1.706.257	2.325.598	3.152.568	3.332	202.4	3.121	49.63	3.318.993	4.723.113	657.5	-2.194.566	4.312.283	10.38	2.385	7.827
23/10/2022 18:00	618	13.23	6.703.208	4.466.948	2.264.187	3.050.703	2.754	130.6	0.95	57.73	0.8917459	5.641.218	657.2	-3.315.183	0.9176666	10.41	2.376	7.854
23/10/2022 19:00	619	12.99	2.974.171	2.381.734	2.196.634	2.999.621	2.047	225.1	0.113	60.7	-0.01750628	5.946.286	657.4	-441.285	-0.04438333	10.42	2.368	7.864
23/10/2022 20:00	620	12.8	100.481	1.171.424	2.146.906	2.923.341	1.131	156.2	-0.242	50.59	-0.5280831	5.020.062	657.5	-613.395	-0.64285	10.44	2.354	7.865
23/10/2022 21:00	621	12.68	-2.726.466	2.816.158	2.154.271	2.887.427	0.752	250	-0.559	45.96	-0.8692372	4.574.551	657.6	-7.084.433	-0.9503166	10.44	2.355	7.866
23/10/2022 22:00	622	12.51	-2.740.786	2.930.767	2.165.792	285.812	1.079	250	-1.017	42.85	-1.265.473	4.245.198	657.9	-7.757.666	-131.355	10.44	2.358	7.868
23/10/2022 23:00	623	12.63	-1.610.641	2.621.739	2.336.615	2.869.854	1.261	246.2	-1.142	42.47	-1.437.207	4.236.215	657.9	-7.374.767	-149.435	10.45	2.357	7.865
24/10/2022 0:00	624	12.6	-0.9239804	1.960.079	2.490.405	2.897.174	0.75	301	-0.977	40.39	-1.249.836	4.003.291	658.1	-6.745.733	-1.246.217	10.44	2.358	7.864
24/10/2022 1:00	625	12.61	-1.271.501	1.712.711	2.462.587	2.888.059	1.367	315.7	-0.86	36.48	-1.142.267	3.625.187	657.9	-7.053.566	-1.098.433	10.44	2.359	7.866
24/10/2022 2:00	626	12.56	-111.326	1.675.594	2.488.808	2.883.184	1.213	255.9	-0.828	33.18	-110.132	3.286.334	657.7	-7.169.133	-1.074.517	10.44	2.357	7.863
24/10/2022 3:00	627	12.54	-2.921.645	1.984.772	2.136.745	2.805.944	1.453	268.5	-1.124	29.18	-1.468.222	2.930.041	657.4	-9.334.367	-1.447.816	10.45	2.358	7.86
24/10/2022 4:00	628	12.53	-3.094.258	2.767.161	198.451	2.751.015	2.185	316	-1.563	27.34	-1.939.037	2.745.899	657	-1.066.965	-195.815	10.45	2.361	7.861
24/10/2022 5:00	629	12.5	-3.173.617	282.921	1.963.528	2.724.418	1.146	263.6	-1.734	25.02	-2.089.267	2.509.559	656.8	-1.133.708	-21.668	10.45	2.367	7.861
24/10/2022 6:00	630	12.5	-3.015.452	2.860.214	1.951.994	2.713.589	1.835	300.9	-1.78	23.49	-2.167.536	2.367.256	656.8	-1.162.952	-221.685	10.45	2.368	7.859
24/10/2022 7:00	631	12.51	0.8337114	5.698.867	1.944.201	2.705.199	1.517	201.3	-1.311	19.77	-187.244	2.052.011	656.8	-119.394	-1.935.317	10.46	2.377	7.862
24/10/2022 8:00	632	12.51	5.597.624	3.223.393	1.951.412	2.725.329	1.651	103.1	-0.224	15.99	-0.6483688	1.618.909	656.9	-1.120.732	-1.050.917	10.46	2.372	7.865
24/10/2022 9:00	633	12.67	488.239	2.961.627	2.057.913	3.016.957	0.801	210.8	6.435	12.39	5.951.293	1.277.963	657.3	-4.232.216	4.550.666	10.44	2.358	7.857
24/10/2022 10:00	634	13.82	6.742.545	3.813.283	2.215.142	3.217.645	0.76	201.7	9.61	10.87	9.343.769	1.017.656	657.6	-0.3324333	92.998	10.41	2.371	7.84
24/10/2022 11:00	635	13.71	8.451.831	4.505.855	2.241.016	3.294.337	0.7	189	11.27	11.55	1.205.656	1.012.479	657.8	0.2268833	1.024.757	10.42	2.389	7.841
24/10/2022 12:00	636	13.62	1011.84	5.179.755	2.258.496	3.342.456	0.207	185.1	11.32	12.7	1.247.802	1.129.005	657.8	0.7898333	1.024.815	10.49	2.408	7.843
24/10/2022 13:00	637	13.62	NAN	5.684.253	2.342.925	3.320.673	1.41	174.1	8.97	14.1	9.638.502	1.290.165	657.7	0.7801332	9.751.317	10.56	2.495	7.835
24/10/2022 14:00	638	13.67	NAN	5.494.334	2.419.912	3.310.755	1.94	177.8	7.699	18.74	8.499.082	172.436	657.5	0.2112166	1.077.422	10.64	2.57	7.81
24/10/2022 15:00	639	13.76	8.845.931	4.548.847	2.450.305	3.272.533	2.238	171.2	6.646	28.45	6.994.288	2.697.388	657.3	0.2396333	94.451	10.74	2.636	7.803
24/10/2022 16:00	640	13.84	6.759.147	3.534.865	2.430.212	3.227.464	2.797	154.3	4.976	34.59	5.251.056	331.088	657.1	-0.7287833	6.763.133	10.86	2.711	7.793
24/10/2022 17:00	641	13.71	397.27	2.070.639	241.455	3.159.667	3.1	152.8	3.737	38.17	4.044.054	3.636.328	656.8	-144.655	5.676.383	10.86	2.792	7.8
24/10/2022 18:00	642	13.36	6.579.214	4.507.093	2.282.613	3.064.976	1.482	194.5	2.318	46.52	2.255.114	456.854	656.7	-3.155.333	2.306.933	10.95	2.785	7.816
24/10/2022 19:00	643	13.1	3.570.583	2.800.073	225.006	3.016.842	1.08	124.1	1.279	51.05	1.174.074	4.993.043	656.6	-4.078.383	1.037.667	10.96	2.777	7.822
24/10/2022 20:00	644	12.89	1.254.198	1.330.542	2.217.462	2.974.832	1.073	173.6	1.262	46.78	0.9763209	4.637.307	656.6	-5.080.866	0.7230499	10.97	2.778	7.824
24/10/2022 21:00	645	12.77	-3.144.302	278.189	2.196.617	2.947.251	1.195	97.1	0.982	42.86	0.6755702	426.132	656.5	-5.805	0.5275666	10.98	2.783	7.823
24/10/2022 22:00	646	12.72	-276.028	2.813.004	2.206.746	291.171	1.297	297.4	0.39	44.37	0.156339	4.392.644	656.5	-670.575	0.0719	10.97	2.771	7.821
24/10/2022 23:00	647	12.69	-2.718.026	3.001.698	220.115	2.887.887	1.255	249.9	0.235	41.75	-0.04824829	4.155.065	656.6	-7.278.383	-0.15035	10.99	2.765	7.822
25/10/2022 0:00	648	12.66	-2.263.195	3.428.389	2.145.825	2.862.729	0.982	293.8	0.392	33.27	0.006380717	3.358.071	656.4	-797.315	-0.09721666	10.99	2.78	7.822
25/10/2022 1:00	649	12.63	-268.143	2.918.378	2.121.933	2.836.778	1.489	257.5	0.407	26.78	0.06706492	2.696.426	655.9	-864.375	-0.003233333	10.99	2.78	7.822
25/10/2022 2:00	650	12.61	-3.077.059	2.485.619	2.101.302	2.811.653	1.618	319.7	-0.255	26.09	-0.5528914	2.576.206	655.2	-9.325.749	-0.6153499	10.99	2.782	7.822
25/10/2022 3:00	651	12.59	-2.800.246	2.634.093	2.137.843	2.800.801	1.786	220.3	-0.405	25.33	-0.8434175	2.560.006	654.5	-9.552.466	-0.8542333	11	2.787	7.821
25/10/2022 4:00	652	12.57	-2.594.029	2.448.645	2.144.557	2.790.237	1.609	313.1	-0.713	23.75	-1.029.885	2.393.933	653.8	-9.779.933	-1.109.933	10.99	2.785	7.823
25/10/2022 5:00	653	12.56	-2.376.494	2.501.259	2.164.928	2.783.589	1.823	309	-0.906	24.81	-1.266.003	2.511.776	653.3	-9.937.716	-129.835	10.98	2.78	7.823
25/10/2022 6:00	654	12.55	-1.989.379	2.362.146	2.242.159	2.790.789	1.64	274.2	-1.058	24.51	-1.340.198	2.470.697	653	-9.721.867	-1.435.267	10.99	2.779	7.821
25/10/2022 7:00	655	12.54	2.065.675	4.813.941	223.567	2.786.087	1.481	308.3	-1.042	24.87	-1.305.101	2.513.682	653	-9.902.383	-1.378.583	10.99	2.782	7.822
25/10/2022 8:00	656	12.56	8.163.415	4.836.784	2.105.479	2.792.959	1.307	298.5	-0.703	23.82	-0.9984035	240.303	653	-9.669.499	-1.266.767	11	2.779	7.822
