fecmed,medici
14/10/2019 15:41:00,92.00
14/10/2019 16:41:00,88.30
14/10/2019 17:41:00,91.00
14/10/2019 18:41:00,85.20
14/10/2019 19:41:00,86.70
14/10/2019 20:41:00,79.90
14/10/2019 21:41:00,83.40
14/10/2019 22:41:00,60.40
14/10/2019 23:41:00,49.00
15/10/2019 00:41:00,47.60
15/10/2019 01:41:00,40.80
15/10/2019 02:41:00,41.90
15/10/2019 03:41:00,41.60
15/10/2019 04:41:00,42.10
15/10/2019 05:41:00,40.80
15/10/2019 06:41:00,38.70
15/10/2019 07:41:00,39.10
15/10/2019 08:41:00,33.40
15/10/2019 09:41:00,30.90
15/10/2019 10:41:00,29.90
15/10/2019 11:41:00,31.40
15/10/2019 12:41:00,31.50
15/10/2019 13:41:00,42.50
15/10/2019 14:41:00,49.70
15/10/2019 15:41:00,50.40
15/10/2019 16:41:00,54.20
15/10/2019 17:41:00,69.50
15/10/2019 18:41:00,78.20
15/10/2019 19:41:00,88.90
15/10/2019 20:41:00,79.90
15/10/2019 21:41:00,73.10
15/10/2019 22:41:00,60.80
15/10/2019 23:41:00,52.80
16/10/2019 00:41:00,48.20
16/10/2019 01:41:00,47.40
16/10/2019 02:41:00,47.30
16/10/2019 03:41:00,54.60
16/10/2019 04:41:00,61.50
16/10/2019 05:41:00,62.00
16/10/2019 06:41:00,58.50
16/10/2019 07:41:00,57.50
16/10/2019 08:41:00,52.60
16/10/2019 09:41:00,59.80
16/10/2019 10:41:00,76.40
16/10/2019 11:41:00,76.10
16/10/2019 12:41:00,91.60
16/10/2019 13:41:00,84.30
16/10/2019 14:41:00,81.40
16/10/2019 15:41:00,93.40
16/10/2019 16:41:00,93.00
16/10/2019 17:41:00,91.70
16/10/2019 18:41:00,85.80
16/10/2019 19:41:00,88.90
16/10/2019 20:41:00,82.70
16/10/2019 21:41:00,77.60
16/10/2019 22:41:00,67.60
16/10/2019 23:41:00,70.50
17/10/2019 00:41:00,69.50
17/10/2019 01:41:00,73.10
17/10/2019 02:41:00,70.20
17/10/2019 03:41:00,84.80
17/10/2019 04:41:00,77.50
17/10/2019 05:41:00,68.00
17/10/2019 06:41:00,59.40
17/10/2019 07:41:00,46.20
17/10/2019 08:41:00,39.40
17/10/2019 09:41:00,37.80
17/10/2019 10:41:00,31.90
17/10/2019 11:41:00,35.40
17/10/2019 12:41:00,39.50
17/10/2019 13:41:00,56.00
17/10/2019 14:41:00,66.80
17/10/2019 15:41:00,66.80
17/10/2019 16:41:00,66.40
17/10/2019 17:41:00,64.80
17/10/2019 18:41:00,79.60
17/10/2019 19:41:00,77.00
17/10/2019 20:41:00,79.70
17/10/2019 21:41:00,74.10
17/10/2019 22:41:00,61.90
17/10/2019 23:41:00,53.20
18/10/2019 00:41:00,44.50
18/10/2019 01:41:00,40.90
18/10/2019 02:41:00,42.40
18/10/2019 03:41:00,43.50
18/10/2019 04:41:00,46.80
18/10/2019 05:41:00,42.50
18/10/2019 06:41:00,39.70
18/10/2019 07:41:00,31.00
18/10/2019 08:41:00,28.60
18/10/2019 09:41:00,20.60
18/10/2019 10:41:00,20.60
18/10/2019 11:41:00,20.40
18/10/2019 12:41:00,18.30
18/10/2019 13:41:00,25.60
18/10/2019 14:41:00,41.60
18/10/2019 15:41:00,44.70
18/10/2019 16:41:00,56.10
18/10/2019 17:41:00,54.80
18/10/2019 18:41:00,56.80
18/10/2019 19:41:00,62.20
18/10/2019 20:41:00,64.70
18/10/2019 21:41:00,58.00
18/10/2019 22:41:00,58.30
18/10/2019 23:41:00,47.30
19/10/2019 00:41:00,49.10
19/10/2019 01:41:00,48.40
19/10/2019 02:41:00,50.70
19/10/2019 03:41:00,48.30
19/10/2019 04:41:00,50.70
19/10/2019 05:41:00,49.30
19/10/2019 06:41:00,47.90
19/10/2019 07:41:00,43.80
19/10/2019 08:41:00,46.40
19/10/2019 09:41:00,46.40
19/10/2019 10:41:00,41.90
19/10/2019 11:41:00,36.60
19/10/2019 12:41:00,35.00
19/10/2019 13:41:00,55.60
19/10/2019 14:41:00,54.10
19/10/2019 15:41:00,69.70
19/10/2019 16:41:00,69.20
19/10/2019 17:41:00,65.40
19/10/2019 18:41:00,67.60
19/10/2019 19:41:00,75.10
19/10/2019 20:41:00,94.60
19/10/2019 21:41:00,76.30
19/10/2019 22:41:00,65.90
19/10/2019 23:41:00,45.20
20/10/2019 00:41:00,40.80
20/10/2019 01:41:00,39.60
20/10/2019 02:41:00,44.90
20/10/2019 03:41:00,46.20
20/10/2019 04:41:00,55.20
20/10/2019 05:41:00,46.10
20/10/2019 06:41:00,41.70
20/10/2019 07:41:00,38.50
20/10/2019 08:41:00,36.60
20/10/2019 09:41:00,30.80
20/10/2019 10:41:00,30.90
20/10/2019 11:41:00,24.40
20/10/2019 12:41:00,31.70
20/10/2019 13:41:00,37.60
20/10/2019 14:41:00,36.50
20/10/2019 15:41:00,50.20
20/10/2019 16:41:00,55.80
20/10/2019 17:41:00,58.00
20/10/2019 18:41:00,66.60
20/10/2019 19:41:00,58.60
20/10/2019 20:41:00,50.80
20/10/2019 21:41:00,44.60
20/10/2019 22:41:00,18.80
20/10/2019 23:41:00,18.40
21/10/2019 00:41:00,28.40
21/10/2019 01:41:00,28.50
21/10/2019 02:41:00,21.70
21/10/2019 03:41:00,21.90
21/10/2019 04:41:00,15.20
21/10/2019 05:41:00,12.70
21/10/2019 06:41:00,12.10
21/10/2019 07:41:00,8.10
21/10/2019 08:41:00,9.00
21/10/2019 09:41:00,10.80
21/10/2019 10:41:00,8.70
21/10/2019 11:41:00,8.70
21/10/2019 12:41:00,10.70
21/10/2019 13:41:00,15.10
21/10/2019 14:41:00,22.30
21/10/2019 15:41:00,22.10
21/10/2019 16:41:00,32.60
21/10/2019 17:41:00,30.60
21/10/2019 18:41:00,29.40
21/10/2019 19:41:00,35.00
21/10/2019 20:41:00,24.80
21/10/2019 21:41:00,29.40
21/10/2019 22:41:00,30.20
21/10/2019 23:41:00,31.10
22/10/2019 00:41:00,28.80
22/10/2019 01:41:00,29.00
22/10/2019 02:41:00,29.80
22/10/2019 03:41:00,41.20
22/10/2019 04:41:00,40.30
22/10/2019 05:41:00,40.30
22/10/2019 06:41:00,36.80
22/10/2019 07:41:00,24.90
22/10/2019 08:41:00,17.50
22/10/2019 09:41:00,15.00
22/10/2019 10:41:00,11.00
22/10/2019 11:41:00,13.50
22/10/2019 12:41:00,26.10
22/10/2019 13:41:00,31.40
22/10/2019 14:41:00,32.70
22/10/2019 15:41:00,31.40
22/10/2019 16:41:00,28.70
22/10/2019 17:41:00,30.10
22/10/2019 18:41:00,35.90
22/10/2019 19:41:00,46.20
22/10/2019 20:41:00,47.00
22/10/2019 21:41:00,46.40
22/10/2019 22:41:00,41.20
22/10/2019 23:41:00,40.00
23/10/2019 00:41:00,36.50
23/10/2019 01:41:00,34.70
23/10/2019 02:41:00,31.30
23/10/2019 03:41:00,30.30
23/10/2019 04:41:00,30.90
23/10/2019 05:41:00,31.30
23/10/2019 06:41:00,32.20
23/10/2019 07:41:00,27.40
23/10/2019 08:41:00,23.10
23/10/2019 09:41:00,25.50
23/10/2019 10:41:00,25.40
23/10/2019 11:41:00,26.40
23/10/2019 12:41:00,31.00
23/10/2019 13:41:00,36.40
23/10/2019 14:41:00,36.50
23/10/2019 15:41:00,35.60
23/10/2019 16:41:00,35.70
23/10/2019 17:41:00,40.00
23/10/2019 18:41:00,47.00
23/10/2019 19:41:00,47.90
23/10/2019 20:41:00,48.20
23/10/2019 21:41:00,52.70
23/10/2019 22:41:00,49.90
23/10/2019 23:41:00,43.20
24/10/2019 00:41:00,43.70
24/10/2019 01:41:00,45.60
24/10/2019 02:41:00,48.00
24/10/2019 03:41:00,50.80
24/10/2019 04:41:00,56.20
24/10/2019 05:41:00,56.90
24/10/2019 06:41:00,53.20
24/10/2019 07:41:00,51.60
24/10/2019 08:41:00,52.80
24/10/2019 09:41:00,49.70
24/10/2019 10:41:00,51.40
24/10/2019 11:41:00,42.00
24/10/2019 12:41:00,43.40
24/10/2019 13:41:00,45.60
24/10/2019 14:41:00,43.60
24/10/2019 15:41:00,40.00
24/10/2019 16:41:00,48.60
24/10/2019 17:41:00,56.30
24/10/2019 18:41:00,53.30
24/10/2019 19:41:00,59.10
24/10/2019 20:41:00,61.60
24/10/2019 21:41:00,66.60
24/10/2019 22:41:00,60.50
24/10/2019 23:41:00,51.40
25/10/2019 00:41:00,44.40
25/10/2019 01:41:00,33.40
25/10/2019 02:41:00,30.30
25/10/2019 03:41:00,25.40
25/10/2019 04:41:00,22.30
25/10/2019 05:41:00,21.00
25/10/2019 06:41:00,18.60
25/10/2019 07:41:00,16.10
25/10/2019 08:41:00,17.00
25/10/2019 09:41:00,13.10
25/10/2019 10:41:00,12.40
25/10/2019 11:41:00,15.30
25/10/2019 12:41:00,11.30
25/10/2019 13:41:00,11.80
25/10/2019 14:41:00,17.40
25/10/2019 15:41:00,22.90
25/10/2019 16:41:00,28.80
25/10/2019 17:41:00,27.70
25/10/2019 18:41:00,29.50
25/10/2019 19:41:00,24.60
25/10/2019 20:41:00,29.50
25/10/2019 21:41:00,28.20
25/10/2019 22:41:00,26.00
25/10/2019 23:41:00,30.20
26/10/2019 00:41:00,25.90
26/10/2019 01:41:00,23.40
26/10/2019 02:41:00,26.90
26/10/2019 03:41:00,36.30
26/10/2019 04:41:00,31.90
26/10/2019 05:41:00,23.10
26/10/2019 06:41:00,28.40
26/10/2019 07:41:00,22.70
26/10/2019 08:41:00,27.30
26/10/2019 09:41:00,25.10
26/10/2019 10:41:00,21.80
26/10/2019 11:41:00,25.50
26/10/2019 12:41:00,25.90
26/10/2019 13:41:00,29.50
26/10/2019 14:41:00,27.00
26/10/2019 15:41:00,21.00
26/10/2019 16:41:00,23.80
26/10/2019 17:41:00,35.40
26/10/2019 18:41:00,30.90
26/10/2019 19:41:00,32.00
26/10/2019 20:41:00,27.10
26/10/2019 21:41:00,23.60
26/10/2019 22:41:00,24.60
26/10/2019 23:41:00,24.60
27/10/2019 00:41:00,22.70
27/10/2019 01:41:00,21.50
27/10/2019 02:41:00,22.40
27/10/2019 03:41:00,21.40
27/10/2019 04:41:00,20.40
27/10/2019 05:41:00,21.50
27/10/2019 06:41:00,22.20
27/10/2019 07:41:00,20.30
27/10/2019 08:41:00,19.70
27/10/2019 09:41:00,17.90
27/10/2019 10:41:00,18.40
27/10/2019 11:41:00,23.00
27/10/2019 12:41:00,28.50
27/10/2019 13:41:00,29.10
27/10/2019 14:41:00,30.80
27/10/2019 15:41:00,31.60
27/10/2019 16:41:00,31.40
27/10/2019 17:41:00,33.60
27/10/2019 18:41:00,42.50
27/10/2019 19:41:00,47.00
27/10/2019 20:41:00,51.50
27/10/2019 21:41:00,45.60
27/10/2019 22:41:00,49.60
27/10/2019 23:41:00,51.30
28/10/2019 00:41:00,57.10
28/10/2019 01:41:00,80.00
28/10/2019 02:41:00,78.20
28/10/2019 03:41:00,89.50
28/10/2019 04:41:00,83.20
28/10/2019 05:41:00,76.70
28/10/2019 06:41:00,70.30
28/10/2019 07:41:00,52.50
28/10/2019 08:41:00,39.70
28/10/2019 09:41:00,39.40
28/10/2019 10:41:00,38.90
28/10/2019 11:41:00,35.10
28/10/2019 12:41:00,32.70
28/10/2019 13:41:00,31.80
28/10/2019 14:41:00,43.10
28/10/2019 15:41:00,66.60
28/10/2019 16:41:00,89.80
28/10/2019 17:41:00,90.20
28/10/2019 18:41:00,93.30
28/10/2019 19:41:00,93.00
28/10/2019 20:41:00,92.60
28/10/2019 21:41:00,91.80
28/10/2019 22:41:00,51.20
28/10/2019 23:41:00,38.80
29/10/2019 00:41:00,31.40
29/10/2019 01:41:00,25.30
29/10/2019 02:41:00,26.20
29/10/2019 03:41:00,23.10
29/10/2019 04:41:00,21.30
29/10/2019 05:41:00,22.30
29/10/2019 06:41:00,24.10
29/10/2019 07:41:00,23.00
29/10/2019 08:41:00,22.40
29/10/2019 09:41:00,24.70
29/10/2019 10:41:00,32.20
29/10/2019 11:41:00,32.00
29/10/2019 12:41:00,33.60
29/10/2019 13:41:00,35.50
29/10/2019 14:41:00,36.10
29/10/2019 15:41:00,40.60
29/10/2019 16:41:00,44.90
29/10/2019 17:41:00,48.10
29/10/2019 18:41:00,51.80
29/10/2019 19:41:00,44.40
29/10/2019 20:41:00,40.60
29/10/2019 21:41:00,32.40
29/10/2019 22:41:00,31.70
29/10/2019 23:41:00,25.40
30/10/2019 00:41:00,28.20
30/10/2019 01:41:00,25.60
30/10/2019 02:41:00,29.70
30/10/2019 03:41:00,32.40
30/10/2019 04:41:00,30.70
30/10/2019 05:41:00,28.30
30/10/2019 06:41:00,32.30
30/10/2019 07:41:00,28.50
30/10/2019 08:41:00,25.80
30/10/2019 09:41:00,15.50
30/10/2019 10:41:00,15.80
30/10/2019 11:41:00,14.20
30/10/2019 12:41:00,13.30
30/10/2019 13:41:00,19.60
30/10/2019 14:41:00,22.20
30/10/2019 15:41:00,19.90
30/10/2019 16:41:00,22.00
30/10/2019 17:41:00,25.00
30/10/2019 18:41:00,29.70
30/10/2019 19:41:00,31.20
30/10/2019 20:41:00,29.30
30/10/2019 21:41:00,25.30
30/10/2019 22:41:00,20.50
30/10/2019 23:41:00,15.50
31/10/2019 00:41:00,12.30
31/10/2019 01:41:00,12.20
31/10/2019 02:41:00,13.10
31/10/2019 03:41:00,15.00
31/10/2019 04:41:00,17.40
31/10/2019 05:41:00,18.60
31/10/2019 06:41:00,21.20
31/10/2019 07:41:00,22.00
31/10/2019 08:41:00,18.50
31/10/2019 09:41:00,14.90
31/10/2019 10:41:00,13.30
31/10/2019 11:41:00,12.00
31/10/2019 12:41:00,18.40
31/10/2019 13:41:00,23.20
31/10/2019 14:41:00,32.60
31/10/2019 15:41:00,39.00
31/10/2019 16:41:00,43.20
31/10/2019 17:41:00,45.70
31/10/2019 18:41:00,52.90
31/10/2019 19:41:00,48.20
31/10/2019 20:41:00,48.70
31/10/2019 21:41:00,39.30
31/10/2019 22:41:00,33.10
31/10/2019 23:41:00,29.90
01/11/2019 00:41:00,22.90
01/11/2019 01:41:00,14.30
01/11/2019 02:41:00,17.20
01/11/2019 03:41:00,18.60
01/11/2019 04:41:00,12.90
01/11/2019 05:41:00,14.70
01/11/2019 06:41:00,16.20
01/11/2019 07:41:00,22.00
01/11/2019 08:41:00,18.00
01/11/2019 09:41:00,15.20
01/11/2019 10:41:00,17.10
01/11/2019 11:41:00,25.80
01/11/2019 12:41:00,42.00
01/11/2019 13:41:00,42.90
01/11/2019 14:41:00,37.80
01/11/2019 15:41:00,40.20
01/11/2019 16:41:00,41.30
01/11/2019 17:41:00,35.30
01/11/2019 18:41:00,43.60
01/11/2019 19:41:00,42.30
01/11/2019 20:41:00,38.20
01/11/2019 21:41:00,32.50
01/11/2019 22:41:00,32.10
01/11/2019 23:41:00,30.80
02/11/2019 00:41:00,27.30
02/11/2019 01:41:00,24.70
02/11/2019 02:41:00,25.30
02/11/2019 03:41:00,24.70
02/11/2019 04:41:00,23.00
02/11/2019 05:41:00,21.00
02/11/2019 06:41:00,18.90
02/11/2019 07:41:00,14.80
02/11/2019 08:41:00,15.10
02/11/2019 09:41:00,12.20
02/11/2019 10:41:00,15.40
02/11/2019 11:41:00,15.10
02/11/2019 12:41:00,18.60
02/11/2019 13:41:00,22.40
02/11/2019 14:41:00,20.50
02/11/2019 15:41:00,23.90
02/11/2019 16:41:00,24.80
02/11/2019 17:41:00,27.50
02/11/2019 18:41:00,28.90
02/11/2019 19:41:00,26.30
02/11/2019 20:41:00,27.80
02/11/2019 21:41:00,25.80
02/11/2019 22:41:00,27.90
02/11/2019 23:41:00,30.40
03/11/2019 00:41:00,26.10
03/11/2019 01:41:00,22.90
03/11/2019 02:41:00,25.10
03/11/2019 03:41:00,31.40
03/11/2019 04:41:00,29.60
03/11/2019 05:41:00,31.60
03/11/2019 06:41:00,28.00
03/11/2019 07:41:00,26.60
03/11/2019 08:41:00,27.30
03/11/2019 09:41:00,27.00
03/11/2019 10:41:00,22.70
03/11/2019 11:41:00,39.10
03/11/2019 12:41:00,37.80
03/11/2019 13:41:00,38.10
03/11/2019 14:41:00,41.60
03/11/2019 15:41:00,40.50
03/11/2019 16:41:00,47.90
03/11/2019 17:41:00,49.50
03/11/2019 18:41:00,57.40
03/11/2019 19:41:00,60.30
03/11/2019 20:41:00,60.60
03/11/2019 21:41:00,51.40
03/11/2019 22:41:00,42.40
03/11/2019 23:41:00,45.40
04/11/2019 00:41:00,46.50
04/11/2019 01:41:00,39.90
04/11/2019 02:41:00,38.70
04/11/2019 03:41:00,42.00
04/11/2019 04:41:00,47.10
04/11/2019 05:41:00,46.50
04/11/2019 06:41:00,48.60
04/11/2019 07:41:00,40.40
04/11/2019 08:41:00,47.60
04/11/2019 09:41:00,36.90
04/11/2019 10:41:00,35.60
04/11/2019 11:41:00,42.80
04/11/2019 12:41:00,43.20
04/11/2019 13:41:00,50.20
04/11/2019 14:41:00,48.10
04/11/2019 15:41:00,66.60
04/11/2019 16:41:00,56.00
04/11/2019 17:41:00,53.90
04/11/2019 18:41:00,51.70
04/11/2019 19:41:00,50.40
04/11/2019 20:41:00,39.50
04/11/2019 21:41:00,35.40
04/11/2019 22:41:00,31.90
04/11/2019 23:41:00,34.60
05/11/2019 00:41:00,38.30
05/11/2019 01:41:00,38.70
05/11/2019 02:41:00,32.90
05/11/2019 03:41:00,33.20
05/11/2019 04:41:00,36.10
05/11/2019 05:41:00,28.30
05/11/2019 06:41:00,27.80
05/11/2019 07:41:00,26.20
05/11/2019 08:41:00,24.10
05/11/2019 09:41:00,24.20
05/11/2019 10:41:00,23.80
05/11/2019 11:41:00,21.90
05/11/2019 12:41:00,23.80
05/11/2019 13:41:00,30.20
05/11/2019 14:41:00,34.00
05/11/2019 15:41:00,38.00
05/11/2019 16:41:00,49.40
05/11/2019 17:41:00,51.50
05/11/2019 18:41:00,52.80
05/11/2019 19:41:00,51.60
05/11/2019 20:41:00,55.90
05/11/2019 21:41:00,53.20
05/11/2019 22:41:00,56.50
05/11/2019 23:41:00,58.90
06/11/2019 00:41:00,57.10
06/11/2019 01:41:00,52.80
06/11/2019 02:41:00,52.50
06/11/2019 03:41:00,52.00
06/11/2019 04:41:00,49.20
06/11/2019 05:41:00,48.30
06/11/2019 06:41:00,42.50
06/11/2019 07:41:00,43.50
06/11/2019 08:41:00,38.30
06/11/2019 09:41:00,36.80
06/11/2019 10:41:00,30.20
06/11/2019 11:41:00,26.40
06/11/2019 12:41:00,26.80
06/11/2019 13:41:00,26.80
06/11/2019 14:41:00,33.10
06/11/2019 15:41:00,37.50
06/11/2019 16:41:00,36.30
06/11/2019 17:41:00,39.10
06/11/2019 18:41:00,42.30
06/11/2019 19:41:00,41.60
06/11/2019 20:41:00,46.90
06/11/2019 21:41:00,46.20
06/11/2019 22:41:00,38.10
06/11/2019 23:41:00,28.30
07/11/2019 00:41:00,30.90
07/11/2019 01:41:00,23.30
07/11/2019 02:41:00,7.80
07/11/2019 03:41:00,2.50
07/11/2019 04:41:00,3.50
07/11/2019 05:41:00,3.40
07/11/2019 06:41:00,2.10
07/11/2019 07:41:00,4.60
07/11/2019 08:41:00,3.20
07/11/2019 09:41:00,2.70
07/11/2019 10:41:00,7.70
