fecmed,medici
28/03/2016 12:41:00,6.32
28/03/2016 13:41:00,6.41
28/03/2016 14:41:00,6.78
28/03/2016 15:41:00,6.42
28/03/2016 16:41:00,5.65
28/03/2016 17:41:00,5.47
28/03/2016 18:41:00,5.05
28/03/2016 19:41:00,4.81
28/03/2016 20:41:00,4.45
28/03/2016 21:41:00,4.20
28/03/2016 22:41:00,4.03
28/03/2016 23:41:00,3.65
29/03/2016 00:41:00,3.43
29/03/2016 01:41:00,3.40
29/03/2016 02:41:00,3.18
29/03/2016 03:41:00,3.14
29/03/2016 04:41:00,3.13
29/03/2016 05:41:00,2.99
29/03/2016 06:41:00,2.83
29/03/2016 07:41:00,2.94
29/03/2016 08:41:00,2.93
29/03/2016 09:41:00,3.49
29/03/2016 10:41:00,4.30
29/03/2016 11:41:00,4.59
29/03/2016 12:41:00,4.04
29/03/2016 13:41:00,4.30
29/03/2016 14:41:00,4.57
29/03/2016 15:41:00,4.79
29/03/2016 16:41:00,5.72
29/03/2016 17:41:00,5.67
29/03/2016 18:41:00,5.60
29/03/2016 19:41:00,4.46
29/03/2016 20:41:00,4.35
29/03/2016 21:41:00,4.37
29/03/2016 22:41:00,4.14
29/03/2016 23:41:00,4.04
30/03/2016 00:41:00,3.85
30/03/2016 01:41:00,3.59
30/03/2016 02:41:00,3.17
30/03/2016 03:41:00,2.63
30/03/2016 04:41:00,2.95
30/03/2016 05:41:00,2.96
30/03/2016 06:41:00,2.55
30/03/2016 07:41:00,2.17
30/03/2016 08:41:00,1.96
30/03/2016 09:41:00,2.19
30/03/2016 10:41:00,3.08
30/03/2016 11:41:00,3.59
30/03/2016 12:41:00,5.23
30/03/2016 13:41:00,5.74
30/03/2016 14:41:00,5.93
30/03/2016 15:41:00,4.26
30/03/2016 16:41:00,3.42
30/03/2016 17:41:00,3.22
30/03/2016 18:41:00,3.86
30/03/2016 19:41:00,3.03
30/03/2016 20:41:00,2.92
30/03/2016 21:41:00,2.48
30/03/2016 22:41:00,2.73
30/03/2016 23:41:00,2.88
31/03/2016 00:41:00,2.98
31/03/2016 01:41:00,2.93
31/03/2016 02:41:00,2.89
31/03/2016 03:41:00,2.79
31/03/2016 04:41:00,2.73
31/03/2016 05:41:00,2.90
31/03/2016 06:41:00,2.74
31/03/2016 07:41:00,2.61
31/03/2016 08:41:00,2.46
31/03/2016 09:41:00,2.55
31/03/2016 10:41:00,3.48
31/03/2016 11:41:00,4.21
31/03/2016 12:41:00,5.04
31/03/2016 13:41:00,5.16
31/03/2016 14:41:00,4.93
31/03/2016 15:41:00,4.89
31/03/2016 16:41:00,4.37
31/03/2016 17:41:00,3.47
31/03/2016 18:41:00,3.78
31/03/2016 19:41:00,3.59
31/03/2016 20:41:00,3.72
31/03/2016 21:41:00,3.23
31/03/2016 22:41:00,2.91
31/03/2016 23:41:00,3.49
01/04/2016 00:41:00,3.59
01/04/2016 01:41:00,3.62
01/04/2016 02:41:00,2.84
01/04/2016 03:41:00,1.81
01/04/2016 04:41:00,1.27
01/04/2016 05:41:00,0.73
01/04/2016 06:41:00,0.50
01/04/2016 07:41:00,0.05
01/04/2016 08:41:00,0.11
01/04/2016 09:41:00,0.22
01/04/2016 10:41:00,0.59
01/04/2016 11:41:00,0.95
01/04/2016 12:41:00,1.11
01/04/2016 13:41:00,1.46
01/04/2016 14:41:00,1.90
01/04/2016 15:41:00,2.76
01/04/2016 16:41:00,2.66
01/04/2016 17:41:00,2.24
01/04/2016 18:41:00,1.97
01/04/2016 19:41:00,1.76
01/04/2016 20:41:00,1.23
01/04/2016 21:41:00,1.03
01/04/2016 22:41:00,0.59
01/04/2016 23:41:00,-0.14
02/04/2016 00:41:00,-0.76
02/04/2016 01:41:00,-0.91
02/04/2016 02:41:00,-1.57
02/04/2016 03:41:00,-1.52
02/04/2016 04:41:00,-1.61
02/04/2016 05:41:00,-1.60
02/04/2016 06:41:00,-1.81
02/04/2016 07:41:00,-1.43
02/04/2016 08:41:00,-1.33
02/04/2016 09:41:00,-0.83
02/04/2016 10:41:00,0.11
02/04/2016 11:41:00,1.48
02/04/2016 12:41:00,2.14
02/04/2016 13:41:00,2.98
02/04/2016 14:41:00,2.61
02/04/2016 15:41:00,2.91
02/04/2016 16:41:00,2.91
02/04/2016 17:41:00,2.62
02/04/2016 18:41:00,1.87
02/04/2016 19:41:00,1.55
02/04/2016 20:41:00,0.84
02/04/2016 21:41:00,0.62
02/04/2016 22:41:00,0.82
02/04/2016 23:41:00,0.77
