fecmed,medici
28/03/2016 12:41:00,16.64
28/03/2016 13:41:00,22.99
28/03/2016 14:41:00,30.12
28/03/2016 15:41:00,37.44
28/03/2016 16:41:00,43.31
28/03/2016 17:41:00,46.92
28/03/2016 18:41:00,49.89
28/03/2016 19:41:00,48.14
28/03/2016 20:41:00,45.90
28/03/2016 21:41:00,47.73
28/03/2016 22:41:00,47.00
28/03/2016 23:41:00,46.77
29/03/2016 00:41:00,46.06
29/03/2016 01:41:00,46.19
29/03/2016 02:41:00,44.53
29/03/2016 03:41:00,43.24
29/03/2016 04:41:00,40.56
29/03/2016 05:41:00,41.22
29/03/2016 06:41:00,41.86
29/03/2016 07:41:00,38.98
29/03/2016 08:41:00,35.93
29/03/2016 09:41:00,35.27
29/03/2016 10:41:00,34.43
29/03/2016 11:41:00,35.07
29/03/2016 12:41:00,36.80
29/03/2016 13:41:00,35.40
29/03/2016 14:41:00,35.48
29/03/2016 15:41:00,36.49
29/03/2016 16:41:00,38.55
29/03/2016 17:41:00,40.31
29/03/2016 18:41:00,42.33
29/03/2016 19:41:00,46.31
29/03/2016 20:41:00,39.72
29/03/2016 21:41:00,34.76
29/03/2016 22:41:00,37.00
29/03/2016 23:41:00,39.88
30/03/2016 00:41:00,42.71
30/03/2016 01:41:00,48.03
30/03/2016 02:41:00,51.44
30/03/2016 03:41:00,54.46
30/03/2016 04:41:00,49.41
30/03/2016 05:41:00,48.66
30/03/2016 06:41:00,49.39
30/03/2016 07:41:00,51.52
30/03/2016 08:41:00,50.27
30/03/2016 09:41:00,47.66
30/03/2016 10:41:00,45.50
30/03/2016 11:41:00,39.87
30/03/2016 12:41:00,33.04
30/03/2016 13:41:00,30.30
30/03/2016 14:41:00,32.49
30/03/2016 15:41:00,46.87
30/03/2016 16:41:00,51.27
30/03/2016 17:41:00,51.13
30/03/2016 18:41:00,44.38
30/03/2016 19:41:00,56.83
30/03/2016 20:41:00,54.32
30/03/2016 21:41:00,55.54
30/03/2016 22:41:00,50.01
30/03/2016 23:41:00,46.79
31/03/2016 00:41:00,44.70
31/03/2016 01:41:00,43.95
31/03/2016 02:41:00,43.07
31/03/2016 03:41:00,42.74
31/03/2016 04:41:00,42.47
31/03/2016 05:41:00,40.46
31/03/2016 06:41:00,40.57
31/03/2016 07:41:00,43.40
31/03/2016 08:41:00,43.31
31/03/2016 09:41:00,41.18
31/03/2016 10:41:00,36.17
31/03/2016 11:41:00,33.43
31/03/2016 12:41:00,31.08
31/03/2016 13:41:00,29.50
31/03/2016 14:41:00,31.06
31/03/2016 15:41:00,35.38
31/03/2016 16:41:00,37.28
31/03/2016 17:41:00,43.57
31/03/2016 18:41:00,39.39
31/03/2016 19:41:00,40.94
31/03/2016 20:41:00,36.98
31/03/2016 21:41:00,41.89
31/03/2016 22:41:00,47.12
31/03/2016 23:41:00,38.20
01/04/2016 00:41:00,36.61
01/04/2016 01:41:00,34.53
01/04/2016 02:41:00,44.47
01/04/2016 03:41:00,62.95
01/04/2016 04:41:00,69.15
01/04/2016 05:41:00,76.22
01/04/2016 06:41:00,79.40
01/04/2016 07:41:00,82.30
01/04/2016 08:41:00,77.38
01/04/2016 09:41:00,75.41
01/04/2016 10:41:00,73.82
01/04/2016 11:41:00,71.88
01/04/2016 12:41:00,69.97
